#,Date,DO_concentration ,"Temp, °F (LGR S/N: 20880670_21120534_duplicate_duplicate, SEN S/N: 20880670)"
163,2/26/2022 1:30,1.23,58.14
164,2/26/2022 1:45,1.18,58.1
165,2/26/2022 2:00,1.23,58.06
166,2/26/2022 2:15,2.26,57.96
167,2/26/2022 2:30,2.97,57.88
168,2/26/2022 2:45,2.7,57.81
169,2/26/2022 3:00,2.85,57.74
170,2/26/2022 3:15,3.23,57.67
171,2/26/2022 3:30,3.24,57.56
172,2/26/2022 3:45,2.88,57.49
173,2/26/2022 4:00,1.97,57.42
174,2/26/2022 4:15,1.76,57.34
175,2/26/2022 4:30,1.76,57.31
176,2/26/2022 4:45,1.79,57.24
177,2/26/2022 5:00,1.84,57.2
178,2/26/2022 5:15,1.96,57.13
179,2/26/2022 5:30,2.17,57.09
180,2/26/2022 5:45,2.1,57.02
181,2/26/2022 6:00,1.88,56.98
182,2/26/2022 6:15,1.77,56.91
183,2/26/2022 6:30,1.67,56.84
184,2/26/2022 6:45,1.42,56.77
185,2/26/2022 7:00,1.28,56.7
186,2/26/2022 7:15,1.38,56.62
187,2/26/2022 7:30,1.53,56.52
188,2/26/2022 7:45,1.64,56.44
189,2/26/2022 8:00,1.59,56.41
190,2/26/2022 8:15,1.5,56.3
191,2/26/2022 8:30,1.37,56.26
192,2/26/2022 8:45,1.41,56.23
193,2/26/2022 9:00,1.5,56.16
194,2/26/2022 9:15,1.55,56.12
195,2/26/2022 9:30,1.6,56.05
196,2/26/2022 9:45,1.74,56.05
197,2/26/2022 10:00,1.97,56.01
198,2/26/2022 10:15,2.38,56.01
199,2/26/2022 10:30,3.02,56.01
200,2/26/2022 10:45,3.51,56.05
201,2/26/2022 11:00,4.01,56.08
202,2/26/2022 11:15,4.13,56.16
203,2/26/2022 11:30,4.45,56.19
204,2/26/2022 11:45,4.57,56.26
205,2/26/2022 12:00,4.25,56.3
206,2/26/2022 12:15,3.84,56.3
207,2/26/2022 12:30,3.63,56.3
208,2/26/2022 12:45,3.47,56.34
209,2/26/2022 13:00,3.51,56.3
210,2/26/2022 13:15,3.57,56.3
211,2/26/2022 13:30,3.47,56.26
212,2/26/2022 13:45,3.14,56.23
213,2/26/2022 14:00,2.86,56.19
214,2/26/2022 14:15,2.6,56.16
215,2/26/2022 14:30,2.58,56.12
216,2/26/2022 14:45,2.89,56.08
217,2/26/2022 15:00,3.16,56.05
218,2/26/2022 15:15,3.29,56.01
219,2/26/2022 15:30,3.29,55.98
220,2/26/2022 15:45,3.26,55.94
221,2/26/2022 16:00,3.71,55.87
222,2/26/2022 16:15,4.35,55.83
223,2/26/2022 16:30,3.69,55.72
224,2/26/2022 16:45,3.09,55.65
225,2/26/2022 17:00,2.88,55.54
226,2/26/2022 17:15,2.73,55.47
227,2/26/2022 17:30,2.53,55.36
228,2/26/2022 17:45,2.42,55.29
229,2/26/2022 18:00,2.41,55.22
230,2/26/2022 18:15,2.79,55.11
231,2/26/2022 18:30,2.64,55.04
232,2/26/2022 18:45,2.62,54.97
233,2/26/2022 19:00,2.38,54.9
234,2/26/2022 19:15,2.42,54.82
235,2/26/2022 19:30,2.49,54.75
236,2/26/2022 19:45,2.48,54.68
237,2/26/2022 20:00,2.44,54.61
238,2/26/2022 20:15,2.5,54.54
239,2/26/2022 20:30,2.51,54.46
240,2/26/2022 20:45,2.42,54.39
241,2/26/2022 21:00,2.41,54.32
242,2/26/2022 21:15,2.47,54.25
243,2/26/2022 21:30,2.38,54.21
244,2/26/2022 21:45,2.33,54.14
245,2/26/2022 22:00,2.25,54.1
246,2/26/2022 22:15,2.21,54.03
247,2/26/2022 22:30,2.21,54
248,2/26/2022 22:45,2.23,54
249,2/26/2022 23:00,2.2,53.96
250,2/26/2022 23:15,2.24,53.96
251,2/26/2022 23:30,2.23,53.92
252,2/26/2022 23:45,2.17,53.92
253,2/27/2022 0:00,2.08,53.89
254,2/27/2022 0:15,2.03,53.85
255,2/27/2022 0:30,2.02,53.82
256,2/27/2022 0:45,2,53.82
257,2/27/2022 1:00,1.98,53.78
258,2/27/2022 1:15,1.96,53.74
259,2/27/2022 1:30,1.92,53.74
260,2/27/2022 1:45,1.88,53.71
261,2/27/2022 2:00,1.85,53.71
262,2/27/2022 2:15,1.8,53.67
263,2/27/2022 2:30,1.76,53.64
264,2/27/2022 2:45,1.73,53.64
265,2/27/2022 3:00,1.69,53.6
266,2/27/2022 3:15,1.68,53.6
267,2/27/2022 3:30,1.64,53.56
268,2/27/2022 3:45,1.62,53.56
269,2/27/2022 4:00,1.61,53.56
270,2/27/2022 4:15,1.59,53.53
271,2/27/2022 4:30,1.55,53.53
272,2/27/2022 4:45,1.5,53.49
273,2/27/2022 5:00,1.45,53.49
274,2/27/2022 5:15,1.47,53.49
275,2/27/2022 5:30,1.49,53.49
276,2/27/2022 5:45,1.44,53.46
277,2/27/2022 6:00,1.34,53.46
278,2/27/2022 6:15,1.32,53.46
279,2/27/2022 6:30,1.27,53.42
280,2/27/2022 6:45,1.2,53.42
281,2/27/2022 7:00,1.16,53.42
282,2/27/2022 7:15,1.13,53.42
283,2/27/2022 7:30,1.11,53.42
284,2/27/2022 7:45,1.1,53.42
285,2/27/2022 8:00,1.07,53.42
286,2/27/2022 8:15,0.98,53.42
287,2/27/2022 8:30,0.91,53.46
288,2/27/2022 8:45,0.88,53.46
289,2/27/2022 9:00,0.81,53.49
290,2/27/2022 9:15,0.75,53.53
291,2/27/2022 9:30,0.74,53.53
292,2/27/2022 9:45,0.72,53.56
293,2/27/2022 10:00,0.7,53.56
294,2/27/2022 10:15,0.69,53.6
295,2/27/2022 10:30,0.67,53.64
296,2/27/2022 10:45,0.64,53.71
297,2/27/2022 11:00,0.58,53.74
298,2/27/2022 11:15,0.51,53.78
299,2/27/2022 11:30,0.51,53.85
300,2/27/2022 11:45,0.49,53.92
301,2/27/2022 12:00,0.45,54
302,2/27/2022 12:15,0.41,54.07
303,2/27/2022 12:30,0.36,54.14
304,2/27/2022 12:45,0.35,54.18
305,2/27/2022 13:00,0.3,54.25
306,2/27/2022 13:15,0.28,54.28
307,2/27/2022 13:30,0.23,54.36
308,2/27/2022 13:45,0.2,54.39
309,2/27/2022 14:00,0.21,54.43
310,2/27/2022 14:15,0.21,54.54
311,2/27/2022 14:30,0.34,54.68
312,2/27/2022 14:45,0.36,54.86
313,2/27/2022 15:00,0.31,55
314,2/27/2022 15:15,0.26,55.15
315,2/27/2022 15:30,0.16,55.26
316,2/27/2022 15:45,0.09,55.26
317,2/27/2022 16:00,0.07,55.29
318,2/27/2022 16:15,0.05,55.33
319,2/27/2022 16:30,0.07,55.36
320,2/27/2022 16:45,0.39,55.47
321,2/27/2022 17:00,0.66,55.58
322,2/27/2022 17:15,0.41,55.69
323,2/27/2022 17:30,0.13,55.69
324,2/27/2022 17:45,0.13,55.62
325,2/27/2022 18:00,0.22,55.51
326,2/27/2022 18:15,0.39,55.4
327,2/27/2022 18:30,0.56,55.33
328,2/27/2022 18:45,0.88,55.26
329,2/27/2022 19:00,0.8,55.18
330,2/27/2022 19:15,1.03,55.15
331,2/27/2022 19:30,1.6,55.08
332,2/27/2022 19:45,2.42,55.04
333,2/27/2022 20:00,3.48,55
334,2/27/2022 20:15,2.97,54.97
335,2/27/2022 20:30,2.71,54.9
336,2/27/2022 20:45,2.38,54.86
337,2/27/2022 21:00,2.47,54.82
338,2/27/2022 21:15,2.68,54.79
339,2/27/2022 21:30,2.77,54.75
340,2/27/2022 21:45,2.56,54.72
341,2/27/2022 22:00,2.26,54.68
342,2/27/2022 22:15,2.08,54.64
343,2/27/2022 22:30,1.92,54.61
344,2/27/2022 22:45,1.74,54.54
345,2/27/2022 23:00,1.5,54.5
346,2/27/2022 23:15,1.45,54.43
347,2/27/2022 23:30,1.42,54.39
348,2/27/2022 23:45,1.36,54.39
349,2/28/2022 0:00,1.26,54.36
350,2/28/2022 0:15,1.24,54.36
351,2/28/2022 0:30,1.2,54.32
352,2/28/2022 0:45,1.08,54.28
353,2/28/2022 1:00,0.82,54.25
354,2/28/2022 1:15,0.58,54.21
355,2/28/2022 1:30,0.39,54.21
356,2/28/2022 1:45,0.3,54.18
357,2/28/2022 2:00,0.24,54.18
358,2/28/2022 2:15,0.19,54.14
359,2/28/2022 2:30,0.15,54.14
360,2/28/2022 2:45,0.12,54.1
361,2/28/2022 3:00,0.04,54.03
362,2/28/2022 3:15,0.12,54.03
363,2/28/2022 3:30,0.75,54
364,2/28/2022 3:45,1.41,54
365,2/28/2022 4:00,1.77,54
366,2/28/2022 4:15,2.14,53.96
367,2/28/2022 4:30,1.94,53.96
368,2/28/2022 4:45,1.63,53.92
369,2/28/2022 5:00,1.46,53.92
370,2/28/2022 5:15,1.59,53.96
371,2/28/2022 5:30,2.18,53.92
372,2/28/2022 5:45,2.31,53.92
373,2/28/2022 6:00,2.29,53.96
374,2/28/2022 6:15,2.04,53.96
375,2/28/2022 6:30,1.83,53.96
376,2/28/2022 6:45,1.8,53.92
377,2/28/2022 7:00,1.91,53.89
378,2/28/2022 7:15,1.82,53.89
379,2/28/2022 7:30,2.01,53.89
380,2/28/2022 7:45,2.36,53.85
381,2/28/2022 8:00,2.85,53.85
382,2/28/2022 8:15,3.08,53.89
383,2/28/2022 8:30,2.99,53.96
384,2/28/2022 8:45,2.89,53.96
385,2/28/2022 9:00,3.28,53.92
386,2/28/2022 9:15,2.83,53.82
387,2/28/2022 9:30,2.97,53.74
388,2/28/2022 9:45,2.84,53.71
389,2/28/2022 10:00,2.72,53.64
390,2/28/2022 10:15,3.06,53.6
391,2/28/2022 10:30,3.94,53.64
392,2/28/2022 10:45,4.07,53.71
393,2/28/2022 11:00,4.17,53.85
394,2/28/2022 11:15,4.19,53.96
395,2/28/2022 11:30,4.36,54.18
396,2/28/2022 11:45,4.29,54.36
397,2/28/2022 12:00,4.1,54.5
398,2/28/2022 12:15,4,54.61
399,2/28/2022 12:30,4.24,54.75
400,2/28/2022 12:45,3.97,54.82
401,2/28/2022 13:00,4.02,54.9
402,2/28/2022 13:15,4.49,55
403,2/28/2022 13:30,4.86,55.11
404,2/28/2022 13:45,5.22,55.22
405,2/28/2022 14:00,4.18,55.29
406,2/28/2022 14:15,3.96,55.4
407,2/28/2022 14:30,3.85,55.47
408,2/28/2022 14:45,2.66,55.58
409,2/28/2022 15:00,3.55,55.69
410,2/28/2022 15:15,3.72,55.76
411,2/28/2022 15:30,3.51,55.83
412,2/28/2022 15:45,3.38,55.9
413,2/28/2022 16:00,3.44,56.01
414,2/28/2022 16:15,4.03,56.08
415,2/28/2022 16:30,4.66,56.12
416,2/28/2022 16:45,6.35,56.19
417,2/28/2022 17:00,8.2,56.19
418,2/28/2022 17:15,8.77,56.23
419,2/28/2022 17:30,8.13,56.19
420,2/28/2022 17:45,5.96,56.16
421,2/28/2022 18:00,4.86,56.08
422,2/28/2022 18:15,5.07,55.98
423,2/28/2022 18:30,5.28,55.87
424,2/28/2022 18:45,6.2,55.72
425,2/28/2022 19:00,6.39,55.62
426,2/28/2022 19:15,5.87,55.54
427,2/28/2022 19:30,5.25,55.44
428,2/28/2022 19:45,5.01,55.33
429,2/28/2022 20:00,4.73,55.26
430,2/28/2022 20:15,4.59,55.15
431,2/28/2022 20:30,4.38,55.08
432,2/28/2022 20:45,4.21,54.97
433,2/28/2022 21:00,4.1,54.86
434,2/28/2022 21:15,3.93,54.82
435,2/28/2022 21:30,3.91,54.75
436,2/28/2022 21:45,3.75,54.68
437,2/28/2022 22:00,3.59,54.64
438,2/28/2022 22:15,3.62,54.57
439,2/28/2022 22:30,3.6,54.5
440,2/28/2022 22:45,3.58,54.39
441,2/28/2022 23:00,3.5,54.36
442,2/28/2022 23:15,3.33,54.28
443,2/28/2022 23:30,3.12,54.21
444,2/28/2022 23:45,3.03,54.18
445,3/1/2022 0:00,2.92,54.14
446,3/1/2022 0:15,2.87,54.07
447,3/1/2022 0:30,2.79,54.03
448,3/1/2022 0:45,2.72,54
449,3/1/2022 1:00,2.66,53.96
450,3/1/2022 1:15,2.58,53.89
451,3/1/2022 1:30,2.58,53.85
452,3/1/2022 1:45,2.58,53.82
453,3/1/2022 2:00,2.51,53.78
454,3/1/2022 2:15,2.45,53.74
455,3/1/2022 2:30,2.35,53.71
456,3/1/2022 2:45,2.15,53.67
457,3/1/2022 3:00,1.99,53.64
458,3/1/2022 3:15,1.8,53.6
459,3/1/2022 3:30,1.66,53.56
460,3/1/2022 3:45,1.54,53.53
461,3/1/2022 4:00,1.47,53.49
462,3/1/2022 4:15,1.44,53.46
463,3/1/2022 4:30,1.48,53.42
464,3/1/2022 4:45,1.52,53.38
465,3/1/2022 5:00,1.35,53.35
466,3/1/2022 5:15,1.32,53.31
467,3/1/2022 5:30,1.3,53.28
468,3/1/2022 5:45,1.18,53.24
469,3/1/2022 6:00,1.04,53.2
470,3/1/2022 6:15,0.94,53.17
471,3/1/2022 6:30,0.87,53.13
472,3/1/2022 6:45,0.83,53.1
473,3/1/2022 7:00,0.81,53.06
474,3/1/2022 7:15,0.85,53.06
475,3/1/2022 7:30,0.95,53.02
476,3/1/2022 7:45,0.98,53.02
477,3/1/2022 8:00,0.96,53.02
478,3/1/2022 8:15,1.07,53.02
479,3/1/2022 8:30,1.06,53.02
480,3/1/2022 8:45,1.02,53.06
481,3/1/2022 9:00,0.78,53.06
482,3/1/2022 9:15,0.67,53.06
483,3/1/2022 9:30,0.64,53.06
484,3/1/2022 9:45,0.65,53.1
485,3/1/2022 10:00,0.76,53.1
486,3/1/2022 10:15,0.83,53.17
487,3/1/2022 10:30,0.82,53.24
488,3/1/2022 10:45,0.75,53.31
489,3/1/2022 11:00,0.8,53.42
490,3/1/2022 11:15,0.97,53.53
491,3/1/2022 11:30,0.95,53.64
492,3/1/2022 11:45,0.76,53.78
493,3/1/2022 12:00,0.65,53.92
494,3/1/2022 12:15,0.64,54.1
495,3/1/2022 12:30,0.6,54.25
496,3/1/2022 12:45,0.58,54.46
497,3/1/2022 13:00,0.58,54.64
498,3/1/2022 13:15,0.56,54.86
499,3/1/2022 13:30,0.47,55.08
500,3/1/2022 13:45,0.4,55.22
501,3/1/2022 14:00,0.66,55.36
502,3/1/2022 14:15,0.83,55.47
503,3/1/2022 14:30,0.92,55.54
504,3/1/2022 14:45,0.95,55.65
505,3/1/2022 15:00,0.92,55.72
506,3/1/2022 15:15,0.83,55.76
507,3/1/2022 15:30,0.74,55.8
508,3/1/2022 15:45,0.67,55.87
509,3/1/2022 16:00,0.6,55.9
510,3/1/2022 16:15,0.54,55.94
511,3/1/2022 16:30,0.47,56.01
512,3/1/2022 16:45,0.53,56.05
513,3/1/2022 17:00,0.74,56.05
514,3/1/2022 17:15,0.91,56.08
515,3/1/2022 17:30,1.18,56.08
516,3/1/2022 17:45,1.26,56.12
517,3/1/2022 18:00,1.41,56.12
518,3/1/2022 18:15,1.45,56.12
519,3/1/2022 18:30,1.58,56.12
520,3/1/2022 18:45,1.64,56.08
521,3/1/2022 19:00,1.64,56.08
522,3/1/2022 19:15,1.59,56.05
523,3/1/2022 19:30,1.72,56.05
524,3/1/2022 19:45,1.77,56.01
525,3/1/2022 20:00,1.8,56.01
526,3/1/2022 20:15,1.8,55.98
527,3/1/2022 20:30,1.75,55.94
528,3/1/2022 20:45,1.59,55.9
529,3/1/2022 21:00,1.42,55.9
530,3/1/2022 21:15,1.31,55.87
531,3/1/2022 21:30,1.26,55.87
532,3/1/2022 21:45,1.17,55.87
533,3/1/2022 22:00,1.08,55.83
534,3/1/2022 22:15,0.89,55.83
535,3/1/2022 22:30,0.82,55.83
536,3/1/2022 22:45,0.8,55.8
537,3/1/2022 23:00,0.75,55.8
538,3/1/2022 23:15,0.67,55.8
539,3/1/2022 23:30,0.58,55.8
540,3/1/2022 23:45,0.51,55.8
541,3/2/2022 0:00,0.45,55.76
542,3/2/2022 0:15,0.42,55.76
543,3/2/2022 0:30,0.37,55.76
544,3/2/2022 0:45,0.32,55.76
545,3/2/2022 1:00,0.29,55.76
546,3/2/2022 1:15,0.25,55.8
547,3/2/2022 1:30,0.22,55.76
548,3/2/2022 1:45,0.21,55.76
549,3/2/2022 2:00,0.23,55.8
550,3/2/2022 2:15,0.2,55.8
551,3/2/2022 2:30,0.17,55.8
552,3/2/2022 2:45,0.17,55.8
553,3/2/2022 3:00,0.15,55.8
554,3/2/2022 3:15,0.14,55.8
555,3/2/2022 3:30,0.15,55.83
556,3/2/2022 3:45,0.19,55.83
557,3/2/2022 4:00,0.2,55.83
558,3/2/2022 4:15,0.19,55.83
559,3/2/2022 4:30,0.18,55.83
560,3/2/2022 4:45,0.17,55.87
561,3/2/2022 5:00,0.14,55.87
562,3/2/2022 5:15,0.12,55.87
563,3/2/2022 5:30,0.09,55.87
564,3/2/2022 5:45,0.08,55.87
565,3/2/2022 6:00,0.06,55.87
566,3/2/2022 6:15,0.04,55.87
567,3/2/2022 6:30,0.02,55.87
568,3/2/2022 6:45,0.01,55.87
569,3/2/2022 7:00,0.01,55.87
570,3/2/2022 7:15,0,55.9
571,3/2/2022 7:30,-0.02,55.9
572,3/2/2022 7:45,-0.03,55.9
573,3/2/2022 8:00,-0.03,55.94
574,3/2/2022 8:15,-0.03,55.94
575,3/2/2022 8:30,-0.03,55.94
576,3/2/2022 8:45,-0.03,55.94
577,3/2/2022 9:00,-0.02,55.98
578,3/2/2022 9:15,-0.02,55.98
579,3/2/2022 9:30,-0.03,56.01
580,3/2/2022 9:45,-0.02,56.01
581,3/2/2022 10:00,-0.03,56.05
582,3/2/2022 10:15,-0.02,56.08
583,3/2/2022 10:30,-0.01,56.19
584,3/2/2022 10:45,0,56.26
585,3/2/2022 11:00,0,56.37
586,3/2/2022 11:15,-0.02,56.48
587,3/2/2022 11:30,-0.03,56.62
588,3/2/2022 11:45,-0.03,56.73
589,3/2/2022 12:00,-0.03,56.84
590,3/2/2022 12:15,-0.02,56.98
591,3/2/2022 12:30,0,57.09
592,3/2/2022 12:45,0.04,57.2
593,3/2/2022 13:00,0.04,57.34
594,3/2/2022 13:15,0,57.45
595,3/2/2022 13:30,-0.01,57.56
596,3/2/2022 13:45,-0.01,57.7
597,3/2/2022 14:00,-0.02,57.81
598,3/2/2022 14:15,0.03,57.96
599,3/2/2022 14:30,-0.02,58.06
600,3/2/2022 14:45,-0.02,58.17
601,3/2/2022 15:00,-0.02,58.28
602,3/2/2022 15:15,-0.02,58.35
603,3/2/2022 15:30,0.01,58.46
604,3/2/2022 15:45,0.06,58.53
605,3/2/2022 16:00,0.16,58.57
606,3/2/2022 16:15,0.28,58.64
607,3/2/2022 16:30,0.47,58.68
608,3/2/2022 16:45,0.63,58.71
609,3/2/2022 17:00,0.78,58.75
610,3/2/2022 17:15,0.88,58.75
611,3/2/2022 17:30,1.11,58.78
612,3/2/2022 17:45,1.28,58.75
613,3/2/2022 18:00,1.4,58.75
614,3/2/2022 18:15,1.51,58.71
615,3/2/2022 18:30,1.64,58.68
616,3/2/2022 18:45,1.64,58.64
617,3/2/2022 19:00,1.71,58.6
618,3/2/2022 19:15,2.13,58.57
619,3/2/2022 19:30,2.53,58.53
620,3/2/2022 19:45,2.65,58.5
621,3/2/2022 20:00,2.65,58.46
622,3/2/2022 20:15,2.58,58.42
623,3/2/2022 20:30,2.61,58.39
624,3/2/2022 20:45,2.63,58.35
625,3/2/2022 21:00,2.57,58.28
626,3/2/2022 21:15,2.5,58.24
627,3/2/2022 21:30,2.47,58.21
628,3/2/2022 21:45,2.55,58.17
629,3/2/2022 22:00,2.65,58.14
630,3/2/2022 22:15,2.83,58.1
631,3/2/2022 22:30,2.79,58.03
632,3/2/2022 22:45,2.74,57.99
633,3/2/2022 23:00,2.66,57.96
634,3/2/2022 23:15,2.59,57.96
635,3/2/2022 23:30,2.5,57.92
636,3/2/2022 23:45,2.44,57.85
637,3/3/2022 0:00,2.37,57.85
638,3/3/2022 0:15,2.34,57.81
639,3/3/2022 0:30,2.27,57.78
640,3/3/2022 0:45,2.21,57.74
641,3/3/2022 1:00,2.18,57.74
642,3/3/2022 1:15,2.13,57.7
643,3/3/2022 1:30,2.06,57.67
644,3/3/2022 1:45,2.02,57.63
645,3/3/2022 2:00,1.95,57.6
646,3/3/2022 2:15,1.84,57.6
647,3/3/2022 2:30,1.74,57.56
648,3/3/2022 2:45,1.61,57.52
649,3/3/2022 3:00,1.56,57.52
650,3/3/2022 3:15,1.37,57.49
651,3/3/2022 3:30,1.24,57.45
652,3/3/2022 3:45,1.16,57.42
653,3/3/2022 4:00,1.22,57.42
654,3/3/2022 4:15,1.01,57.38
655,3/3/2022 4:30,0.78,57.34
656,3/3/2022 4:45,0.65,57.34
657,3/3/2022 5:00,0.62,57.31
658,3/3/2022 5:15,0.57,57.31
659,3/3/2022 5:30,0.5,57.27
660,3/3/2022 5:45,0.46,57.27
661,3/3/2022 6:00,0.42,57.24
