#,Date ,"Full Range, μS/cm (LGR S/N: 10104851, SEN S/N: 10104851)","Temp, °C (LGR S/N: 10104851, SEN S/N: 10104851)",Specific_Conductance,Coupler Detached (LGR S/N: 10104851),Coupler Attached (LGR S/N: 10104851),Host Connected (LGR S/N: 10104851),Stopped (LGR S/N: 10104851),End Of File (LGR S/N: 10104851),Coupler Detached (LGR S/N: 10104851),Coupler Attached (LGR S/N: 10104851),Host Connected (LGR S/N: 10104851),Stopped (LGR S/N: 10104851),End Of File (LGR S/N: 10104851),Coupler Detached (LGR S/N: 10104851),Coupler Attached (LGR S/N: 10104851),Host Connected (LGR S/N: 10104851),Stopped (LGR S/N: 10104851),End Of File (LGR S/N: 10104851)
59,4/22/2023 2:30,330.3,17.95,510.4,,,,,,,,,,,,,,,
60,4/22/2023 2:45,330.3,17.92,511.8,,,,,,,,,,,,,,,
61,4/22/2023 3:00,330.3,17.91,512.9,,,,,,,,,,,,,,,
62,4/22/2023 3:15,329.9,17.9,513.4,,,,,,,,,,,,,,,
63,4/22/2023 3:30,330.3,17.89,515.1,,,,,,,,,,,,,,,
64,4/22/2023 3:45,330.7,17.86,517.1,,,,,,,,,,,,,,,
65,4/22/2023 4:00,331.1,17.85,518.8,,,,,,,,,,,,,,,
66,4/22/2023 4:15,331.9,17.84,521.1,,,,,,,,,,,,,,,
67,4/22/2023 4:30,332.7,17.84,523.4,,,,,,,,,,,,,,,
68,4/22/2023 4:45,333.1,17.83,525.1,,,,,,,,,,,,,,,
69,4/22/2023 5:00,333.1,17.81,526.4,,,,,,,,,,,,,,,
70,4/22/2023 5:15,333.1,17.8,527.5,,,,,,,,,,,,,,,
71,4/22/2023 5:30,333.9,17.79,529.9,,,,,,,,,,,,,,,
72,4/22/2023 5:45,334.3,17.78,531.6,,,,,,,,,,,,,,,
73,4/22/2023 6:00,334.7,17.77,533.4,,,,,,,,,,,,,,,
74,4/22/2023 6:15,334.7,17.75,534.7,,,,,,,,,,,,,,,
75,4/22/2023 6:30,335.1,17.74,536.4,,,,,,,,,,,,,,,
76,4/22/2023 6:45,335.2,17.72,537.8,,,,,,,,,,,,,,,
77,4/22/2023 7:00,335.2,17.72,538.8,,,,,,,,,,,,,,,
78,4/22/2023 7:15,335.2,17.69,540.2,,,,,,,,,,,,,,,
79,4/22/2023 7:30,335.2,17.69,541.2,,,,,,,,,,,,,,,
80,4/22/2023 7:45,335.2,17.69,542.2,,,,,,,,,,,,,,,
81,4/22/2023 8:00,334.8,17.69,542.6,,,,,,,,,,,,,,,
82,4/22/2023 8:15,332.8,17.69,540.3,,,,,,,,,,,,,,,
83,4/22/2023 8:30,330.8,17.69,538.1,,,,,,,,,,,,,,,
84,4/22/2023 8:45,330.8,17.71,538.8,,,,,,,,,,,,,,,
85,4/22/2023 9:00,331.6,17.71,541.1,,,,,,,,,,,,,,,
86,4/22/2023 9:15,332.4,17.72,543.3,,,,,,,,,,,,,,,
87,4/22/2023 9:30,333.2,17.72,545.6,,,,,,,,,,,,,,,
88,4/22/2023 9:45,334,17.72,547.9,,,,,,,,,,,,,,,
89,4/22/2023 10:00,334,17.73,548.7,,,,,,,,,,,,,,,
90,4/22/2023 10:15,334.7,17.75,550.6,,,,,,,,,,,,,,,
91,4/22/2023 10:30,335.1,17.75,552.3,,,,,,,,,,,,,,,
92,4/22/2023 10:45,335.1,17.78,552.9,,,,,,,,,,,,,,,
93,4/22/2023 11:00,335.5,17.8,554.3,,,,,,,,,,,,,,,
94,4/22/2023 11:15,335.9,17.81,555.8,,,,,,,,,,,,,,,
95,4/22/2023 11:30,335.5,17.83,555.9,,,,,,,,,,,,,,,
96,4/22/2023 11:45,335.9,17.85,557.3,,,,,,,,,,,,,,,
97,4/22/2023 12:00,335.9,17.89,557.8,,,,,,,,,,,,,,,
98,4/22/2023 12:15,336.3,17.92,559.1,,,,,,,,,,,,,,,
99,4/22/2023 12:30,337.1,17.96,560.9,,,,,,,,,,,,,,,
100,4/22/2023 12:45,337.4,18.01,561.7,,,,,,,,,,,,,,,
101,4/22/2023 13:00,337.8,18.02,563.2,,,,,,,,,,,,,,,
102,4/22/2023 13:15,337.4,18.06,563,,,,,,,,,,,,,,,
103,4/22/2023 13:30,337.4,18.07,563.9,,,,,,,,,,,,,,,
104,4/22/2023 13:45,337,18.09,564,,,,,,,,,,,,,,,
105,4/22/2023 14:00,336.6,18.12,563.9,,,,,,,,,,,,,,,
106,4/22/2023 14:15,336.2,18.14,564,,,,,,,,,,,,,,,
107,4/22/2023 14:30,336.2,18.17,564.6,,,,,,,,,,,,,,,
108,4/22/2023 14:45,336.2,18.19,565.3,,,,,,,,,,,,,,,
109,4/22/2023 15:00,336.2,18.2,566.2,,,,,,,,,,,,,,,
110,4/22/2023 15:15,336.2,18.22,566.9,,,,,,,,,,,,,,,
111,4/22/2023 15:30,336.6,18.23,568.4,,,,,,,,,,,,,,,
112,4/22/2023 15:45,335,18.14,567.9,,,,,,,,,,,,,,,
113,4/22/2023 16:00,334.2,18.26,565.9,,,,,,,,,,,,,,,
114,4/22/2023 16:15,337.3,18.41,570.2,,,,,,,,,,,,,,,
115,4/22/2023 16:30,334.8,18.66,563.7,,,,,,,,,,,,,,,
116,4/22/2023 16:45,331.9,18.93,556.3,,,,,,,,,,,,,,,
117,4/22/2023 17:00,331.5,19.16,553.6,,,,,,,,,,,,,,,
118,4/22/2023 17:15,333,19.37,554.4,,,,,,,,,,,,,,,
119,4/22/2023 17:30,334.5,19.54,555.7,,,,,,,,,,,,,,,
120,4/22/2023 17:45,335.3,19.68,556.2,,,,,,,,,,,,,,,
121,4/22/2023 18:00,336.4,19.79,557.6,,,,,,,,,,,,,,,
122,4/22/2023 18:15,337.2,19.87,558.8,,,,,,,,,,,,,,,
123,4/22/2023 18:30,338.8,19.92,561.8,,,,,,,,,,,,,,,
124,4/22/2023 18:45,339.5,19.95,563.6,,,,,,,,,,,,,,,
125,4/22/2023 19:00,341.1,19.96,567,,,,,,,,,,,,,,,
126,4/22/2023 19:15,341.1,19.96,568,,,,,,,,,,,,,,,
127,4/22/2023 19:30,341.1,19.96,569,,,,,,,,,,,,,,,
128,4/22/2023 19:45,340.7,19.94,569.5,,,,,,,,,,,,,,,
129,4/22/2023 20:00,310.1,20.07,517.7,,,,,,,,,,,,,,,
130,4/22/2023 20:15,53.6,20.68,88.4,,,,,,,,,,,,,,,
131,4/22/2023 20:30,32.5,20.1,54.4,,,,,,,,,,,,,,,
132,4/22/2023 20:45,23.6,19.62,40,,,,,,,,,,,,,,,
133,4/22/2023 21:00,24,19.6,40.8,,,,,,,,,,,,,,,
134,4/22/2023 21:15,28.3,19.64,48.1,,,,,,,,,,,,,,,
135,4/22/2023 21:30,31,19.67,52.8,,,,,,,,,,,,,,,
136,4/22/2023 21:45,36.4,19.7,62,,,,,,,,,,,,,,,
137,4/22/2023 22:00,36.4,19.7,62.1,,,,,,,,,,,,,,,
138,4/22/2023 22:15,38.8,19.7,66.3,,,,,,,,,,,,,,,
139,4/22/2023 22:30,46.6,19.66,79.9,,,,,,,,,,,,,,,
140,4/22/2023 22:45,50.1,19.62,86.1,,,,,,,,,,,,,,,
141,4/22/2023 23:00,52.8,19.59,90.9,,,,,,,,,,,,,,,
142,4/22/2023 23:15,55.2,19.53,95.4,,,,,,,,,,,,,,,
143,4/22/2023 23:30,61,19.47,105.7,,,,,,,,,,,,,,,
144,4/22/2023 23:45,68.1,19.41,118.4,,,,,,,,,,,,,,,
145,4/23/2023 0:00,72,19.36,125.5,,,,,,,,,,,,,,,
146,4/23/2023 0:15,77.5,19.28,135.5,,,,,,,,,,,,,,,
147,4/23/2023 0:30,83,19.25,145.5,,,,,,,,,,,,,,,
148,4/23/2023 0:45,88.5,19.2,155.6,,,,,,,,,,,,,,,
149,4/23/2023 1:00,94,19.16,165.7,,,,,,,,,,,,,,,
150,4/23/2023 1:15,98.3,19.1,173.8,,,,,,,,,,,,,,,
151,4/23/2023 1:30,102.2,19.04,181.2,,,,,,,,,,,,,,,
152,4/23/2023 1:45,106.5,19.02,189.2,,,,,,,,,,,,,,,
153,4/23/2023 2:00,110.1,18.97,196.2,,,,,,,,,,,,,,,
154,4/23/2023 2:15,115.2,18.93,205.8,,,,,,,,,,,,,,,
155,4/23/2023 2:30,117.9,18.88,211.2,,,,,,,,,,,,,,,
156,4/23/2023 2:45,121.5,18.86,218.1,,,,,,,,,,,,,,,
157,4/23/2023 3:00,125,18.82,225,,,,,,,,,,,,,,,
158,4/23/2023 3:15,127.4,18.77,229.9,,,,,,,,,,,,,,,
159,4/23/2023 3:30,129.7,18.74,234.6,,,,,,,,,,,,,,,
160,4/23/2023 3:45,132.1,18.71,239.5,,,,,,,,,,,,,,,
161,4/23/2023 4:00,134.1,18.69,243.6,,,,,,,,,,,,,,,
162,4/23/2023 4:15,136,18.65,247.7,,,,,,,,,,,,,,,
163,4/23/2023 4:30,138,18.62,251.9,,,,,,,,,,,,,,,
164,4/23/2023 4:45,139.6,18.59,255.4,,,,,,,,,,,,,,,
165,4/23/2023 5:00,141.5,18.56,259.5,,,,,,,,,,,,,,,
166,4/23/2023 5:15,142.7,18.53,262.3,,,,,,,,,,,,,,,
167,4/23/2023 5:30,144.7,18.51,266.5,,,,,,,,,,,,,,,
168,4/23/2023 5:45,145.5,18.47,268.7,,,,,,,,,,,,,,,
169,4/23/2023 6:00,147.1,18.45,272.2,,,,,,,,,,,,,,,
170,4/23/2023 6:15,148.3,18.41,275.1,,,,,,,,,,,,,,,
171,4/23/2023 6:30,149.4,18.4,277.6,,,,,,,,,,,,,,,
172,4/23/2023 6:45,150.2,18.37,279.8,,,,,,,,,,,,,,,
173,4/23/2023 7:00,150.6,18.35,281.1,,,,,,,,,,,,,,,
174,4/23/2023 7:15,151.4,18.31,283.3,,,,,,,,,,,,,,,
175,4/23/2023 7:30,151.8,18.29,284.6,,,,,,,,,,,,,,,
176,4/23/2023 7:45,153.4,18.28,288.1,,,,,,,,,,,,,,,
177,4/23/2023 8:00,154.2,18.25,290.3,,,,,,,,,,,,,,,
178,4/23/2023 8:15,155,18.23,292.4,,,,,,,,,,,,,,,
179,4/23/2023 8:30,156.2,18.2,295.3,,,,,,,,,,,,,,,
180,4/23/2023 8:45,157.4,18.19,298.1,,,,,,,,,,,,,,,
181,4/23/2023 9:00,158.2,18.17,300.3,,,,,,,,,,,,,,,
182,4/23/2023 9:15,159.3,18.15,303,,,,,,,,,,,,,,,
183,4/23/2023 9:30,160.5,18.14,305.8,,,,,,,,,,,,,,,
184,4/23/2023 9:45,161.7,18.14,308.6,,,,,,,,,,,,,,,
185,4/23/2023 10:00,162.5,18.14,310.6,,,,,,,,,,,,,,,
186,4/23/2023 10:15,163.3,18.17,312.4,,,,,,,,,,,,,,,
187,4/23/2023 10:30,164.8,18.19,315.6,,,,,,,,,,,,,,,
188,4/23/2023 10:45,165.6,18.24,317.2,,,,,,,,,,,,,,,
189,4/23/2023 11:00,167.2,18.3,320.3,,,,,,,,,,,,,,,
190,4/23/2023 11:15,168.4,18.35,322.7,,,,,,,,,,,,,,,
191,4/23/2023 11:30,169.1,18.4,324.2,,,,,,,,,,,,,,,
192,4/23/2023 11:45,169.5,18.45,325.1,,,,,,,,,,,,,,,
193,4/23/2023 12:00,170.7,18.48,327.7,,,,,,,,,,,,,,,
194,4/23/2023 12:15,171.5,18.53,329.3,,,,,,,,,,,,,,,
195,4/23/2023 12:30,171.9,18.58,330.2,,,,,,,,,,,,,,,
196,4/23/2023 12:45,172.3,18.62,331.2,,,,,,,,,,,,,,,
197,4/23/2023 13:00,172.7,18.65,332.2,,,,,,,,,,,,,,,
198,4/23/2023 13:15,173.4,18.7,333.7,,,,,,,,,,,,,,,
199,4/23/2023 13:30,174.2,18.74,335.4,,,,,,,,,,,,,,,
200,4/23/2023 13:45,175.8,18.77,338.8,,,,,,,,,,,,,,,
201,4/23/2023 14:00,177.7,18.82,342.6,,,,,,,,,,,,,,,
202,4/23/2023 14:15,179.3,18.87,345.8,,,,,,,,,,,,,,,
203,4/23/2023 14:30,180.5,18.93,348.1,,,,,,,,,,,,,,,
204,4/23/2023 14:45,182.4,18.98,351.9,,,,,,,,,,,,,,,
205,4/23/2023 15:00,183.6,19,354.6,,,,,,,,,,,,,,,
206,4/23/2023 15:15,186,19.02,359.6,,,,,,,,,,,,,,,
207,4/23/2023 15:30,187.6,19.04,363.1,,,,,,,,,,,,,,,
208,4/23/2023 15:45,189.9,19.04,368.1,,,,,,,,,,,,,,,
209,4/23/2023 16:00,191.5,19.05,371.6,,,,,,,,,,,,,,,
210,4/23/2023 16:15,192.7,19.05,374.5,,,,,,,,,,,,,,,
211,4/23/2023 16:30,195.1,19.05,379.8,,,,,,,,,,,,,,,
212,4/23/2023 16:45,195.9,19.05,381.9,,,,,,,,,,,,,,,
213,4/23/2023 17:00,197.4,19.05,385.4,,,,,,,,,,,,,,,
214,4/23/2023 17:15,198.6,19.04,388.4,,,,,,,,,,,,,,,
215,4/23/2023 17:30,200.2,18.99,392.5,,,,,,,,,,,,,,,
216,4/23/2023 17:45,201,18.94,395.2,,,,,,,,,,,,,,,
217,4/23/2023 18:00,202.6,18.9,399.3,,,,,,,,,,,,,,,
218,4/23/2023 18:15,203.4,18.85,401.9,,,,,,,,,,,,,,,
219,4/23/2023 18:30,204.6,18.81,405.2,,,,,,,,,,,,,,,
220,4/23/2023 18:45,205.8,18.77,408.6,,,,,,,,,,,,,,,
221,4/23/2023 19:00,206.6,18.73,411.2,,,,,,,,,,,,,,,
222,4/23/2023 19:15,207,18.7,412.8,,,,,,,,,,,,,,,
223,4/23/2023 19:30,207.8,18.68,415.2,,,,,,,,,,,,,,,
224,4/23/2023 19:45,208.2,18.64,417,,,,,,,,,,,,,,,
225,4/23/2023 20:00,209.8,18.63,420.9,,,,,,,,,,,,,,,
226,4/23/2023 20:15,210.6,18.59,423.6,,,,,,,,,,,,,,,
227,4/23/2023 20:30,211.8,18.57,426.8,,,,,,,,,,,,,,,
228,4/23/2023 20:45,212.2,18.54,428.5,,,,,,,,,,,,,,,
229,4/23/2023 21:00,213.4,18.53,431.7,,,,,,,,,,,,,,,
230,4/23/2023 21:15,214.1,18.51,433.9,,,,,,,,,,,,,,,
231,4/23/2023 21:30,214.6,18.48,435.9,,,,,,,,,,,,,,,
232,4/23/2023 21:45,215.7,18.46,438.9,,,,,,,,,,,,,,,
233,4/23/2023 22:00,216.5,18.43,441.5,,,,,,,,,,,,,,,
234,4/23/2023 22:15,217.3,18.4,444.1,,,,,,,,,,,,,,,
235,4/23/2023 22:30,217.7,18.36,446,,,,,,,,,,,,,,,
236,4/23/2023 22:45,218.1,18.32,447.8,,,,,,,,,,,,,,,
237,4/23/2023 23:00,219,18.28,450.7,,,,,,,,,,,,,,,
238,4/23/2023 23:15,219,18.25,451.7,,,,,,,,,,,,,,,
239,4/23/2023 23:30,220.2,18.2,455.4,,,,,,,,,,,,,,,
240,4/23/2023 23:45,220.6,18.18,457.1,,,,,,,,,,,,,,,
241,4/24/2023 0:00,221.4,18.17,459.5,,,,,,,,,,,,,,,
242,4/24/2023 0:15,222.5,18.14,462.7,,,,,,,,,,,,,,,
243,4/24/2023 0:30,223.3,18.13,465.2,,,,,,,,,,,,,,,
244,4/24/2023 0:45,224.5,18.12,468.4,,,,,,,,,,,,,,,
245,4/24/2023 1:00,225.7,18.09,472,,,,,,,,,,,,,,,
246,4/24/2023 1:15,228.5,18.08,478.6,,,,,,,,,,,,,,,
247,4/24/2023 1:30,230.9,18.08,484.3,,,,,,,,,,,,,,,
248,4/24/2023 1:45,232.9,18.06,489.4,,,,,,,,,,,,,,,
249,4/24/2023 2:00,234.1,18.06,492.6,,,,,,,,,,,,,,,
250,4/24/2023 2:15,233.3,18.03,492,,,,,,,,,,,,,,,
251,4/24/2023 2:30,235.2,18.02,496.8,,,,,,,,,,,,,,,
252,4/24/2023 2:45,237.6,18.01,502.7,,,,,,,,,,,,,,,
253,4/24/2023 3:00,238,18,504.4,,,,,,,,,,,,,,,
254,4/24/2023 3:15,237.6,17.98,504.5,,,,,,,,,,,,,,,
255,4/24/2023 3:30,238.4,17.97,507,,,,,,,,,,,,,,,
256,4/24/2023 3:45,237.6,17.96,506.1,,,,,,,,,,,,,,,
257,4/24/2023 4:00,237.6,17.94,507.1,,,,,,,,,,,,,,,
258,4/24/2023 4:15,238.4,17.94,509.5,,,,,,,,,,,,,,,
259,4/24/2023 4:30,235.3,17.92,503.8,,,,,,,,,,,,,,,
260,4/24/2023 4:45,236.5,17.9,507.3,,,,,,,,,,,,,,,
261,4/24/2023 5:00,237.3,17.89,509.8,,,,,,,,,,,,,,,
262,4/24/2023 5:15,239.3,17.86,515.2,,,,,,,,,,,,,,,
263,4/24/2023 5:30,240.1,17.84,517.9,,,,,,,,,,,,,,,
264,4/24/2023 5:45,240.8,17.83,520.2,,,,,,,,,,,,,,,
265,4/24/2023 6:00,242,17.8,523.9,,,,,,,,,,,,,,,
266,4/24/2023 6:15,242.8,17.78,526.6,,,,,,,,,,,,,,,
267,4/24/2023 6:30,243.6,17.75,529.5,,,,,,,,,,,,,,,
268,4/24/2023 6:45,244,17.72,531.4,,,,,,,,,,,,,,,
269,4/24/2023 7:00,244.1,17.66,533.1,,,,,,,,,,,,,,,
270,4/24/2023 7:15,244.1,17.63,534.2,,,,,,,,,,,,,,,
271,4/24/2023 7:30,244.5,17.62,536,,,,,,,,,,,,,,,
272,4/24/2023 7:45,244.9,17.58,538.1,,,,,,,,,,,,,,,
273,4/24/2023 8:00,245.3,17.55,540.1,,,,,,,,,,,,,,,
274,4/24/2023 8:15,246.5,17.54,543.6,,,,,,,,,,,,,,,
275,4/24/2023 8:30,248.5,17.52,549,,,,,,,,,,,,,,,
276,4/24/2023 8:45,250.5,17.46,555,,,,,,,,,,,,,,,
277,4/24/2023 9:00,250.9,17.43,557,,,,,,,,,,,,,,,
278,4/24/2023 9:15,251.3,17.41,558.9,,,,,,,,,,,,,,,
279,4/24/2023 9:30,251.7,17.39,560.8,,,,,,,,,,,,,,,
280,4/24/2023 9:45,251.7,17.35,562.1,,,,,,,,,,,,,,,
281,4/24/2023 10:00,252.1,17.34,563.9,,,,,,,,,,,,,,,
282,4/24/2023 10:15,252.1,17.35,564.5,,,,,,,,,,,,,,,
283,4/24/2023 10:30,251.7,17.34,564.5,,,,,,,,,,,,,,,
284,4/24/2023 10:45,250.9,17.35,563.4,,,,,,,,,,,,,,,
285,4/24/2023 11:00,249.7,17.38,561,,,,,,,,,,,,,,,
286,4/24/2023 11:15,246.5,17.39,554.4,,,,,,,,,,,,,,,
287,4/24/2023 11:30,242.1,17.44,544.6,,,,,,,,,,,,,,,
288,4/24/2023 11:45,241.7,17.46,544.2,,,,,,,,,,,,,,,
289,4/24/2023 12:00,241.3,17.51,543.4,,,,,,,,,,,,,,,
290,4/24/2023 12:15,242.9,17.56,547.1,,,,,,,,,,,,,,,
291,4/24/2023 12:30,244.5,17.61,550.7,,,,,,,,,,,,,,,
292,4/24/2023 12:45,244.9,17.66,551.7,,,,,,,,,,,,,,,
293,4/24/2023 13:00,245.6,17.69,553.7,,,,,,,,,,,,,,,
294,4/24/2023 13:15,246,17.72,554.9,,,,,,,,,,,,,,,
295,4/24/2023 13:30,246,17.75,555.2,,,,,,,,,,,,,,,
296,4/24/2023 13:45,246.4,17.79,556.4,,,,,,,,,,,,,,,
297,4/24/2023 14:00,246.8,17.81,557.7,,,,,,,,,,,,,,,
298,4/24/2023 14:15,247.2,17.88,558.5,,,,,,,,,,,,,,,
299,4/24/2023 14:30,247.6,17.89,560,,,,,,,,,,,,,,,
300,4/24/2023 14:45,247.6,17.9,560.6,,,,,,,,,,,,,,,
301,4/24/2023 15:00,247.6,17.92,561,,,,,,,,,,,,,,,
302,4/24/2023 15:15,248.4,17.94,563.3,,,,,,,,,,,,,,,
303,4/24/2023 15:30,248.7,17.96,564.5,,,,,,,,,,,,,,,
304,4/24/2023 15:45,249.1,17.96,566.1,,,,,,,,,,,,,,,
305,4/24/2023 16:00,250.3,17.97,569.5,,,,,,,,,,,,,,,
306,4/24/2023 16:15,251.1,17.97,572,,,,,,,,,,,,,,,
307,4/24/2023 16:30,251.5,17.98,573.6,,,,,,,,,,,,,,,
308,4/24/2023 16:45,252.3,17.98,576.1,,,,,,,,,,,,,,,
309,4/24/2023 17:00,253.1,17.98,578.7,,,,,,,,,,,,,,,
310,4/24/2023 17:15,253.5,17.96,580.6,,,,,,,,,,,,,,,
311,4/24/2023 17:30,254.3,17.91,583.9,,,,,,,,,,,,,,,
312,4/24/2023 17:45,255.5,17.88,587.8,,,,,,,,,,,,,,,
313,4/24/2023 18:00,256.3,17.84,591,,,,,,,,,,,,,,,
314,4/24/2023 18:15,257.9,17.78,596.3,,,,,,,,,,,,,,,
315,4/24/2023 18:30,258.3,17.75,598.4,,,,,,,,,,,,,,,
316,4/24/2023 18:45,258.7,17.72,600.5,,,,,,,,,,,,,,,
317,4/24/2023 19:00,259.9,17.67,604.8,,,,,,,,,,,,,,,
318,4/24/2023 19:15,260.3,17.63,607.1,,,,,,,,,,,,,,,
319,4/24/2023 19:30,261.1,17.6,610.2,,,,,,,,,,,,,,,
320,4/24/2023 19:45,260.4,17.56,609.9,,,,,,,,,,,,,,,
321,4/24/2023 20:00,260.4,17.51,611.4,,,,,,,,,,,,,,,
322,4/24/2023 20:15,260.4,17.46,612.9,,,,,,,,,,,,,,,
323,4/24/2023 20:30,260.8,17.41,615.4,,,,,,,,,,,,,,,
324,4/24/2023 20:45,260.8,17.37,616.7,,,,,,,,,,,,,,,
325,4/24/2023 21:00,260.8,17.3,618.5,,,,,,,,,,,,,,,
326,4/24/2023 21:15,260.8,17.26,619.9,,,,,,,,,,,,,,,
327,4/24/2023 21:30,260.5,17.21,620.7,,,,,,,,,,,,,,,
328,4/24/2023 21:45,260.5,17.2,621.7,,,,,,,,,,,,,,,
329,4/24/2023 22:00,260.5,17.16,623,,,,,,,,,,,,,,,
330,4/24/2023 22:15,260.9,17.13,625.2,,,,,,,,,,,,,,,
331,4/24/2023 22:30,261.3,17.12,627.1,,,,,,,,,,,,,,,
332,4/24/2023 22:45,262.1,17.09,630.3,,,,,,,,,,,,,,,
333,4/24/2023 23:00,262.9,17.06,633.5,,,,,,,,,,,,,,,
334,4/24/2023 23:15,262.9,17.05,634.4,,,,,,,,,,,,,,,
335,4/24/2023 23:30,262.9,17.03,635.5,,,,,,,,,,,,,,,
