#,Date,Ch: 1 - Temperature   (°C ),Ch: 2 - Millivolts   (mv), pH  
77,04/05/2022 06:45:00,15.94,4.89,6.47
78,04/05/2022 07:00:00,15.91,4.88,6.47
79,04/05/2022 07:15:00,15.89,4.77,6.47
80,04/05/2022 07:30:00,15.87,4.77,6.47
81,04/05/2022 07:45:00,15.84,4.72,6.47
82,04/05/2022 08:00:00,15.82,4.59,6.47
83,04/05/2022 08:15:00,15.80,4.42,6.47
84,04/05/2022 08:30:00,15.80,4.28,6.48
85,04/05/2022 08:45:00,15.77,4.11,6.48
86,04/05/2022 09:00:00,15.77,3.98,6.48
87,04/05/2022 09:15:00,15.77,3.83,6.48
88,04/05/2022 09:30:00,15.77,3.69,6.49
89,04/05/2022 09:45:00,15.80,3.63,6.49
90,04/05/2022 10:00:00,15.82,3.61,6.49
91,04/05/2022 10:15:00,15.87,3.58,6.49
92,04/05/2022 10:30:00,15.91,3.61,6.49
93,04/05/2022 10:45:00,15.96,3.61,6.49
94,04/05/2022 11:00:00,16.03,3.61,6.49
95,04/05/2022 11:15:00,16.15,3.61,6.49
96,04/05/2022 11:30:00,16.27,3.75,6.49
97,04/05/2022 11:45:00,16.42,3.75,6.49
98,04/05/2022 12:00:00,16.53,3.86,6.48
99,04/05/2022 12:15:00,16.65,3.86,6.48
100,04/05/2022 12:30:00,16.77,3.88,6.48
101,04/05/2022 12:45:00,16.92,4.05,6.48
102,04/05/2022 13:00:00,17.06,3.95,6.48
103,04/05/2022 13:15:00,17.22,3.75,6.49
104,04/05/2022 13:30:00,17.39,3.58,6.49
105,04/05/2022 13:45:00,17.53,3.50,6.49
106,04/05/2022 14:00:00,17.68,3.52,6.49
107,04/05/2022 14:15:00,17.80,3.56,6.49
108,04/05/2022 14:30:00,17.94,3.52,6.49
109,04/05/2022 14:45:00,18.06,3.52,6.49
110,04/05/2022 15:00:00,18.15,3.69,6.49
111,04/05/2022 15:15:00,18.25,3.69,6.49
112,04/05/2022 15:30:00,18.34,3.64,6.49
113,04/05/2022 15:45:00,18.41,3.58,6.49
114,04/05/2022 16:00:00,18.46,3.81,6.49
115,04/05/2022 16:15:00,18.53,4.06,6.48
116,04/05/2022 16:30:00,18.60,4.17,6.48
117,04/05/2022 16:45:00,18.65,4.27,6.48
118,04/05/2022 17:00:00,18.70,4.41,6.48
119,04/05/2022 17:15:00,18.75,4.53,6.48
120,04/05/2022 17:30:00,18.77,4.53,6.48
121,04/05/2022 17:45:00,18.79,4.86,6.47
122,04/05/2022 18:00:00,18.82,5.34,6.46
123,04/05/2022 18:15:00,18.82,5.91,6.45
124,04/05/2022 18:30:00,18.82,6.41,6.45
125,04/05/2022 18:45:00,18.82,6.61,6.44
126,04/05/2022 19:00:00,18.82,6.83,6.44
127,04/05/2022 19:15:00,18.82,7.16,6.43
128,04/05/2022 19:30:00,18.79,7.30,6.43
129,04/05/2022 19:45:00,18.77,7.39,6.43
130,04/05/2022 20:00:00,18.72,7.34,6.43
131,04/05/2022 20:15:00,18.68,7.31,6.43
132,04/05/2022 20:30:00,18.63,7.31,6.43
133,04/05/2022 20:45:00,18.60,7.47,6.43
134,04/05/2022 21:00:00,18.56,7.55,6.42
135,04/05/2022 21:15:00,18.49,7.72,6.42
136,04/05/2022 21:30:00,17.49,-3.80,6.62
137,04/05/2022 21:45:00,18.18,-14.45,6.80
138,04/05/2022 22:00:00,18.58,-14.97,6.81
139,04/05/2022 22:15:00,18.65,-14.41,6.80
140,04/05/2022 22:30:00,18.56,-14.59,6.81
141,04/05/2022 22:45:00,18.46,-15.19,6.82
142,04/05/2022 23:00:00,18.44,-13.38,6.78
143,04/05/2022 23:15:00,18.41,-10.05,6.73
144,04/05/2022 23:30:00,18.39,-7.72,6.69
145,04/05/2022 23:45:00,18.37,-5.45,6.65
146,04/06/2022 00:00:00,18.34,-4.36,6.63
147,04/06/2022 00:15:00,18.34,-4.58,6.63
148,04/06/2022 00:30:00,18.32,-5.17,6.64
149,04/06/2022 00:45:00,18.30,-5.72,6.65
150,04/06/2022 01:00:00,18.30,-6.30,6.66
151,04/06/2022 01:15:00,18.27,-6.33,6.66
152,04/06/2022 01:30:00,18.25,-6.52,6.67
153,04/06/2022 01:45:00,18.22,-6.72,6.67
154,04/06/2022 02:00:00,18.20,-6.92,6.67
155,04/06/2022 02:15:00,18.18,-7.14,6.68
156,04/06/2022 02:30:00,18.15,-7.17,6.68
157,04/06/2022 02:45:00,18.13,-7.22,6.68
158,04/06/2022 03:00:00,18.08,-7.13,6.68
159,04/06/2022 03:15:00,18.06,-7.17,6.68
160,04/06/2022 03:30:00,18.03,-6.94,6.67
161,04/06/2022 03:45:00,18.01,-6.63,6.67
162,04/06/2022 04:00:00,17.96,-6.45,6.66
163,04/06/2022 04:15:00,17.94,-6.27,6.66
164,04/06/2022 04:30:00,17.89,-6.05,6.66
165,04/06/2022 04:45:00,17.87,-6.03,6.66
166,04/06/2022 05:00:00,17.82,-5.31,6.65
167,04/06/2022 05:15:00,17.77,-4.95,6.64
168,04/06/2022 05:30:00,17.75,-4.69,6.63
169,04/06/2022 05:45:00,17.70,-4.45,6.63
170,04/06/2022 06:00:00,17.65,-4.06,6.62
171,04/06/2022 06:15:00,17.63,-3.81,6.62
172,04/06/2022 06:30:00,17.58,-3.59,6.62
173,04/06/2022 06:45:00,17.53,-3.52,6.61
174,04/06/2022 07:00:00,17.49,-3.53,6.61
175,04/06/2022 07:15:00,17.44,-3.53,6.61
176,04/06/2022 07:30:00,17.42,-3.55,6.61
177,04/06/2022 07:45:00,17.37,-3.55,6.61
178,04/06/2022 08:00:00,17.34,-3.27,6.61
179,04/06/2022 08:15:00,17.30,-3.28,6.61
180,04/06/2022 08:30:00,17.27,-3.23,6.61
181,04/06/2022 08:45:00,17.27,-3.27,6.61
182,04/06/2022 09:00:00,17.25,-3.31,6.61
183,04/06/2022 09:15:00,17.27,-3.31,6.61
184,04/06/2022 09:30:00,17.32,-3.42,6.61
185,04/06/2022 09:45:00,17.39,-3.48,6.61
186,04/06/2022 10:00:00,17.49,-3.41,6.61
187,04/06/2022 10:15:00,17.61,-3.38,6.61
188,04/06/2022 10:30:00,17.72,-3.33,6.61
189,04/06/2022 10:45:00,17.89,-3.11,6.61
190,04/06/2022 11:00:00,18.13,-2.92,6.60
191,04/06/2022 11:15:00,18.39,-2.75,6.60
192,04/06/2022 11:30:00,18.63,-2.48,6.60
193,04/06/2022 11:45:00,18.94,-2.33,6.60
194,04/06/2022 12:00:00,19.25,-2.28,6.59
195,04/06/2022 12:15:00,19.48,-2.22,6.59
196,04/06/2022 12:30:00,19.79,-2.22,6.59
197,04/06/2022 12:45:00,20.08,-2.02,6.59
198,04/06/2022 13:00:00,20.36,-1.83,6.59
199,04/06/2022 13:15:00,20.67,-1.58,6.58
200,04/06/2022 13:30:00,20.96,-1.64,6.59
201,04/06/2022 13:45:00,21.22,-1.61,6.59
202,04/06/2022 14:00:00,21.49,-1.80,6.59
203,04/06/2022 14:15:00,21.75,-1.64,6.59
204,04/06/2022 14:30:00,22.01,-1.38,6.58
205,04/06/2022 14:45:00,22.27,-1.22,6.58
206,04/06/2022 15:00:00,22.47,-1.05,6.58
207,04/06/2022 15:15:00,22.68,-0.95,6.58
208,04/06/2022 15:30:00,22.92,-0.95,6.58
209,04/06/2022 15:45:00,23.09,-1.06,6.58
210,04/06/2022 16:00:00,23.23,-1.25,6.58
211,04/06/2022 16:15:00,23.40,-1.30,6.58
212,04/06/2022 16:30:00,23.52,-1.20,6.58
213,04/06/2022 16:45:00,23.59,-1.08,6.58
214,04/06/2022 17:00:00,23.57,-1.25,6.58
215,04/06/2022 17:15:00,23.47,-1.59,6.59
216,04/06/2022 17:30:00,23.35,-1.86,6.59
217,04/06/2022 17:45:00,23.18,-2.22,6.60
218,04/06/2022 18:00:00,22.99,-2.67,6.61
219,04/06/2022 18:15:00,22.82,-3.09,6.61
220,04/06/2022 18:30:00,22.63,-3.38,6.62
221,04/06/2022 18:45:00,22.44,-3.63,6.62
222,04/06/2022 19:00:00,22.27,-3.78,6.62
223,04/06/2022 19:15:00,22.08,-3.98,6.63
224,04/06/2022 19:30:00,21.89,-4.13,6.63
225,04/06/2022 19:45:00,21.72,-4.20,6.63
226,04/06/2022 20:00:00,21.53,-4.48,6.64
227,04/06/2022 20:15:00,21.34,-4.67,6.64
228,04/06/2022 20:30:00,21.15,-4.73,6.64
229,04/06/2022 20:45:00,20.96,-4.86,6.64
230,04/06/2022 21:00:00,20.82,-4.98,6.64
231,04/06/2022 21:15:00,20.65,-5.06,6.64
232,04/06/2022 21:30:00,20.53,-5.09,6.64
233,04/06/2022 21:45:00,20.39,-5.28,6.65
234,04/06/2022 22:00:00,20.27,-5.45,6.65
235,04/06/2022 22:15:00,20.17,-5.58,6.65
236,04/06/2022 22:30:00,20.06,-5.64,6.65
237,04/06/2022 22:45:00,19.96,-5.63,6.65
238,04/06/2022 23:00:00,19.86,-5.45,6.65
239,04/06/2022 23:15:00,19.77,-5.09,6.64
240,04/06/2022 23:30:00,19.67,-4.92,6.64
241,04/06/2022 23:45:00,19.58,-4.83,6.64
242,04/07/2022 00:00:00,19.32,-4.69,6.64
243,04/07/2022 00:15:00,19.22,-10.56,6.74
244,04/07/2022 00:30:00,19.25,-9.67,6.72
245,04/07/2022 00:45:00,19.34,-7.11,6.68
246,04/07/2022 01:00:00,19.37,-4.86,6.64
247,04/07/2022 01:15:00,19.34,-6.20,6.66
248,04/07/2022 01:30:00,19.34,-7.72,6.69
249,04/07/2022 01:45:00,19.32,-7.81,6.69
250,04/07/2022 02:00:00,19.29,-8.23,6.70
251,04/07/2022 02:15:00,19.27,-7.84,6.69
252,04/07/2022 02:30:00,19.22,-7.63,6.69
253,04/07/2022 02:45:00,19.20,-7.45,6.68
254,04/07/2022 03:00:00,19.15,-7.69,6.69
255,04/07/2022 03:15:00,19.13,-7.27,6.68
256,04/07/2022 03:30:00,19.08,-6.97,6.68
257,04/07/2022 03:45:00,19.03,-6.34,6.66
258,04/07/2022 04:00:00,19.01,-5.73,6.65
259,04/07/2022 04:15:00,18.96,-5.16,6.64
260,04/07/2022 04:30:00,18.91,-4.83,6.64
261,04/07/2022 04:45:00,18.87,-4.56,6.63
262,04/07/2022 05:00:00,18.82,-4.38,6.63
263,04/07/2022 05:15:00,18.77,-3.95,6.62
264,04/07/2022 05:30:00,18.75,-3.45,6.61
265,04/07/2022 05:45:00,18.70,-3.05,6.61
266,04/07/2022 06:00:00,18.65,-2.81,6.60
267,04/07/2022 06:15:00,18.63,-2.77,6.60
268,04/07/2022 06:30:00,18.58,-2.61,6.60
269,04/07/2022 06:45:00,18.56,-2.45,6.60
270,04/07/2022 07:00:00,18.51,-2.30,6.59
271,04/07/2022 07:15:00,18.49,-1.95,6.59
272,04/07/2022 07:30:00,18.46,-1.80,6.59
273,04/07/2022 07:45:00,18.44,-1.70,6.58
274,04/07/2022 08:00:00,18.41,-1.56,6.58
275,04/07/2022 08:15:00,18.39,-1.44,6.58
276,04/07/2022 08:30:00,18.37,-1.23,6.58
277,04/07/2022 08:45:00,18.37,-1.14,6.57
278,04/07/2022 09:00:00,18.37,-1.06,6.57
279,04/07/2022 09:15:00,18.41,-0.84,6.57
280,04/07/2022 09:30:00,18.46,-0.47,6.56
281,04/07/2022 09:45:00,18.53,-0.19,6.56
282,04/07/2022 10:00:00,18.60,0.14,6.55
283,04/07/2022 10:15:00,18.70,0.34,6.55
284,04/07/2022 10:30:00,18.79,0.56,6.55
285,04/07/2022 10:45:00,18.89,0.91,6.54
286,04/07/2022 11:00:00,18.98,1.17,6.54
287,04/07/2022 11:15:00,19.08,1.41,6.53
288,04/07/2022 11:30:00,19.22,1.70,6.53
289,04/07/2022 11:45:00,19.39,1.98,6.52
290,04/07/2022 12:00:00,19.53,2.08,6.52
291,04/07/2022 12:15:00,19.70,2.25,6.52
292,04/07/2022 12:30:00,19.82,2.48,6.51
293,04/07/2022 12:45:00,19.94,2.72,6.51
294,04/07/2022 13:00:00,20.17,2.88,6.51
295,04/07/2022 13:15:00,20.36,2.78,6.51
296,04/07/2022 13:30:00,20.53,2.64,6.51
297,04/07/2022 13:45:00,20.70,2.63,6.51
298,04/07/2022 14:00:00,20.94,2.73,6.51
299,04/07/2022 14:15:00,21.17,2.86,6.51
300,04/07/2022 14:30:00,21.39,2.77,6.51
301,04/07/2022 14:45:00,21.60,3.00,6.51
302,04/07/2022 15:00:00,21.82,3.27,6.50
303,04/07/2022 15:15:00,22.03,3.55,6.50
304,04/07/2022 15:30:00,22.23,3.58,6.50
305,04/07/2022 15:45:00,22.42,3.52,6.50
306,04/07/2022 16:00:00,22.61,3.48,6.50
307,04/07/2022 16:15:00,22.82,3.59,6.50
308,04/07/2022 16:30:00,23.04,3.92,6.50
309,04/07/2022 16:45:00,23.26,4.23,6.49
310,04/07/2022 17:00:00,23.38,4.27,6.49
311,04/07/2022 17:15:00,23.47,4.20,6.49
312,04/07/2022 17:30:00,23.52,4.09,6.49
313,04/07/2022 17:45:00,23.52,3.94,6.50
314,04/07/2022 18:00:00,23.47,3.81,6.50
315,04/07/2022 18:15:00,23.40,3.64,6.50
316,04/07/2022 18:30:00,23.28,3.41,6.50
317,04/07/2022 18:45:00,23.14,3.05,6.51
318,04/07/2022 19:00:00,22.99,3.28,6.51
319,04/07/2022 19:15:00,20.53,2.31,6.52
320,04/07/2022 19:30:00,21.13,-4.97,6.64
321,04/07/2022 19:45:00,21.22,-1.16,6.58
322,04/07/2022 20:00:00,21.15,0.66,6.55
323,04/07/2022 20:15:00,21.10,0.14,6.56
324,04/07/2022 20:30:00,21.08,-0.84,6.57
325,04/07/2022 20:45:00,21.03,-1.50,6.58
326,04/07/2022 21:00:00,20.96,-1.55,6.58
327,04/07/2022 21:15:00,20.89,-1.61,6.59
328,04/07/2022 21:30:00,20.82,-1.81,6.59
329,04/07/2022 21:45:00,20.75,-1.67,6.59
330,04/07/2022 22:00:00,20.65,-1.64,6.59
331,04/07/2022 22:15:00,20.58,-1.97,6.59
332,04/07/2022 22:30:00,20.48,-2.14,6.59
333,04/07/2022 22:45:00,20.41,-2.20,6.60
334,04/07/2022 23:00:00,20.32,-2.23,6.60
335,04/07/2022 23:15:00,20.22,-2.48,6.60
336,04/07/2022 23:30:00,20.15,-2.45,6.60
337,04/07/2022 23:45:00,20.03,-2.28,6.60
338,04/08/2022 00:00:00,19.94,-2.05,6.59
339,04/08/2022 00:15:00,19.82,-2.14,6.59
340,04/08/2022 00:30:00,19.70,-2.22,6.59
341,04/08/2022 00:45:00,19.60,-2.41,6.60
342,04/08/2022 01:00:00,19.51,-2.48,6.60
343,04/08/2022 01:15:00,19.41,-2.28,6.60
344,04/08/2022 01:30:00,19.32,-2.27,6.59
345,04/08/2022 01:45:00,19.20,-2.28,6.59
346,04/08/2022 02:00:00,19.13,-1.97,6.59
347,04/08/2022 02:15:00,19.03,-2.08,6.59
348,04/08/2022 02:30:00,18.94,-2.30,6.59
349,04/08/2022 02:45:00,18.84,-2.17,6.59
350,04/08/2022 03:00:00,18.75,-1.97,6.59
351,04/08/2022 03:15:00,18.68,-1.80,6.59
352,04/08/2022 03:30:00,18.58,-1.41,6.58
353,04/08/2022 03:45:00,18.49,-0.50,6.56
354,04/08/2022 04:00:00,18.41,-0.55,6.56
355,04/08/2022 04:15:00,18.32,-0.64,6.57
356,04/08/2022 04:30:00,18.25,-0.55,6.56
357,04/08/2022 04:45:00,18.15,-0.58,6.56
358,04/08/2022 05:00:00,18.08,-0.55,6.56
359,04/08/2022 05:15:00,18.01,-0.59,6.56
360,04/08/2022 05:30:00,17.94,-0.47,6.56
361,04/08/2022 05:45:00,17.87,-0.55,6.56
362,04/08/2022 06:00:00,17.80,-0.48,6.56
363,04/08/2022 06:15:00,17.72,-0.58,6.56
364,04/08/2022 06:30:00,17.65,-0.83,6.57
365,04/08/2022 06:45:00,17.58,-0.91,6.57
366,04/08/2022 07:00:00,17.51,-0.97,6.57
367,04/08/2022 07:15:00,17.46,-1.20,6.57
368,04/08/2022 07:30:00,17.39,-1.38,6.58
369,04/08/2022 07:45:00,17.34,-1.52,6.58
370,04/08/2022 08:00:00,17.27,-1.80,6.58
371,04/08/2022 08:15:00,17.22,-2.09,6.59
372,04/08/2022 08:30:00,17.18,-2.20,6.59
373,04/08/2022 08:45:00,17.13,-2.22,6.59
374,04/08/2022 09:00:00,17.08,-2.00,6.59
375,04/08/2022 09:15:00,17.08,-1.53,6.58
376,04/08/2022 09:30:00,17.11,-1.36,6.58
377,04/08/2022 09:45:00,17.13,-1.16,6.57
378,04/08/2022 10:00:00,17.20,-1.17,6.57
379,04/08/2022 10:15:00,17.30,-1.19,6.57
380,04/08/2022 10:30:00,17.37,-1.11,6.57
381,04/08/2022 10:45:00,17.53,-1.27,6.57
382,04/08/2022 11:00:00,17.75,-1.23,6.57
383,04/08/2022 11:15:00,17.99,-1.20,6.57
384,04/08/2022 11:30:00,18.25,-1.59,6.58
385,04/08/2022 11:45:00,18.56,-2.03,6.59
386,04/08/2022 12:00:00,18.84,-2.39,6.60
387,04/08/2022 12:15:00,19.17,-2.63,6.60
388,04/08/2022 12:30:00,19.48,-2.81,6.60
389,04/08/2022 12:45:00,19.77,-2.48,6.60
390,04/08/2022 13:00:00,20.06,-2.78,6.60
391,04/08/2022 13:15:00,20.27,-2.20,6.59
392,04/08/2022 13:30:00,20.51,-1.53,6.58
393,04/08/2022 13:45:00,20.72,-1.06,6.58
394,04/08/2022 14:00:00,20.89,-0.83,6.57
395,04/08/2022 14:15:00,21.08,-0.70,6.57
396,04/08/2022 14:30:00,21.25,-0.45,6.57
397,04/08/2022 14:45:00,21.27,-0.59,6.57
398,04/08/2022 15:00:00,21.22,-0.70,6.57
399,04/08/2022 15:15:00,21.13,-1.03,6.58
400,04/08/2022 15:30:00,21.01,-0.83,6.57
401,04/08/2022 15:45:00,20.94,-1.03,6.58
402,04/08/2022 16:00:00,20.96,-0.78,6.57
403,04/08/2022 16:15:00,21.03,-0.53,6.57
404,04/08/2022 16:30:00,21.08,-0.45,6.57
405,04/08/2022 16:45:00,21.10,-1.06,6.58
406,04/08/2022 17:00:00,21.06,-1.13,6.58
407,04/08/2022 17:15:00,20.98,-1.30,6.58
408,04/08/2022 17:30:00,20.86,-2.11,6.59
409,04/08/2022 17:45:00,20.75,-2.33,6.60
410,04/08/2022 18:00:00,20.63,-2.13,6.59
411,04/08/2022 18:15:00,20.48,-2.16,6.59
412,04/08/2022 18:30:00,20.32,-2.47,6.60
413,04/08/2022 18:45:00,20.15,-2.81,6.61
414,04/08/2022 19:00:00,19.98,-3.16,6.61
415,04/08/2022 19:15:00,19.82,-3.17,6.61
416,04/08/2022 19:30:00,19.65,-2.91,6.61
417,04/08/2022 19:45:00,19.48,-2.86,6.61
418,04/08/2022 20:00:00,19.32,-2.69,6.60
419,04/08/2022 20:15:00,19.17,-2.89,6.61
420,04/08/2022 20:30:00,19.01,-3.56,6.62
421,04/08/2022 20:45:00,18.84,-2.75,6.60
422,04/08/2022 21:00:00,18.70,-1.81,6.59
423,04/08/2022 21:15:00,18.56,-1.38,6.58
424,04/08/2022 21:30:00,18.41,-0.94,6.57
425,04/08/2022 21:45:00,18.27,-0.48,6.56
426,04/08/2022 22:00:00,18.15,-0.44,6.56
427,04/08/2022 22:15:00,18.06,-0.44,6.56
428,04/08/2022 22:30:00,17.94,-1.05,6.57
429,04/08/2022 22:45:00,17.82,-1.02,6.57
430,04/08/2022 23:00:00,17.72,-1.11,6.57
431,04/08/2022 23:15:00,17.63,-1.50,6.58
432,04/08/2022 23:30:00,17.53,-1.52,6.58
433,04/08/2022 23:45:00,17.46,-1.88,6.59
434,04/09/2022 00:00:00,17.37,-1.58,6.58
435,04/09/2022 00:15:00,17.27,-0.86,6.57
436,04/09/2022 00:30:00,17.20,-0.75,6.57
437,04/09/2022 00:45:00,17.13,-0.53,6.56
438,04/09/2022 01:00:00,17.06,-0.09,6.55
439,04/09/2022 01:15:00,16.99,0.08,6.55
440,04/09/2022 01:30:00,16.92,0.23,6.55
441,04/09/2022 01:45:00,16.84,0.20,6.55
442,04/09/2022 02:00:00,16.77,0.63,6.54
443,04/09/2022 02:15:00,16.70,0.70,6.54
444,04/09/2022 02:30:00,16.65,0.81,6.54
445,04/09/2022 02:45:00,16.58,0.92,6.54
446,04/09/2022 03:00:00,16.51,0.83,6.54
447,04/09/2022 03:15:00,16.46,0.83,6.54
448,04/09/2022 03:30:00,16.39,0.98,6.53
449,04/09/2022 03:45:00,16.34,0.88,6.54
450,04/09/2022 04:00:00,16.30,0.75,6.54
451,04/09/2022 04:15:00,16.25,0.66,6.54
452,04/09/2022 04:30:00,16.20,0.63,6.54
453,04/09/2022 04:45:00,16.15,0.59,6.54
454,04/09/2022 05:00:00,16.11,0.63,6.54
455,04/09/2022 05:15:00,16.06,0.42,6.54
456,04/09/2022 05:30:00,16.03,0.17,6.55
457,04/09/2022 05:45:00,15.99,-0.20,6.55
458,04/09/2022 06:00:00,15.94,-0.33,6.56
459,04/09/2022 06:15:00,15.91,-0.28,6.56
460,04/09/2022 06:30:00,15.87,-0.19,6.55
461,04/09/2022 06:45:00,15.84,-0.11,6.55
462,04/09/2022 07:00:00,15.80,-0.28,6.56
463,04/09/2022 07:15:00,15.77,-0.45,6.56
464,04/09/2022 07:30:00,15.75,-0.34,6.56
465,04/09/2022 07:45:00,15.72,-0.13,6.55
466,04/09/2022 08:00:00,15.70,-0.17,6.55
467,04/09/2022 08:15:00,15.70,-0.16,6.55
468,04/09/2022 08:30:00,15.70,-0.30,6.56
469,04/09/2022 08:45:00,15.70,-0.30,6.56
470,04/09/2022 09:00:00,15.70,-0.22,6.55
471,04/09/2022 09:15:00,15.72,-0.27,6.55
472,04/09/2022 09:30:00,15.75,-0.30,6.56
473,04/09/2022 09:45:00,15.82,-0.27,6.56
474,04/09/2022 10:00:00,15.91,-0.25,6.55
475,04/09/2022 10:15:00,16.03,-0.25,6.56
476,04/09/2022 10:30:00,16.15,-0.09,6.55
477,04/09/2022 10:45:00,16.32,0.08,6.55
478,04/09/2022 11:00:00,16.49,0.27,6.55
479,04/09/2022 11:15:00,16.63,0.38,6.55
480,04/09/2022 11:30:00,16.80,0.48,6.54
481,04/09/2022 11:45:00,17.06,0.53,6.54
482,04/09/2022 12:00:00,17.20,0.50,6.54
483,04/09/2022 12:15:00,17.37,0.56,6.54
484,04/09/2022 12:30:00,17.56,0.63,6.54
485,04/09/2022 12:45:00,17.63,0.50,6.54
486,04/09/2022 13:00:00,17.82,0.34,6.55
487,04/09/2022 13:15:00,17.87,0.22,6.55
488,04/09/2022 13:30:00,17.91,0.09,6.55
489,04/09/2022 13:45:00,17.94,-0.09,6.56
490,04/09/2022 14:00:00,17.96,-0.42,6.56
491,04/09/2022 14:15:00,17.99,-0.58,6.56
492,04/09/2022 14:30:00,18.01,-0.48,6.56
493,04/09/2022 14:45:00,18.08,0.23,6.55
494,04/09/2022 15:00:00,18.13,0.22,6.55
495,04/09/2022 15:15:00,18.30,-0.17,6.56
496,04/09/2022 15:30:00,18.44,-0.05,6.56
497,04/09/2022 15:45:00,18.49,0.20,6.55
498,04/09/2022 16:00:00,18.51,-0.41,6.56
499,04/09/2022 16:15:00,18.49,-1.00,6.57
500,04/09/2022 16:30:00,18.44,-2.00,6.59
501,04/09/2022 16:45:00,18.34,-1.88,6.59
502,04/09/2022 17:00:00,18.25,-1.86,6.59
503,04/09/2022 17:15:00,18.13,-1.27,6.58
504,04/09/2022 17:30:00,18.03,-0.53,6.56
