#,Date,"Low Range, μS/cm (LGR S/N: 21551159, SEN S/N: 21551159)","High Range, μS/cm (LGR S/N: 21551159, SEN S/N: 21551159)","Temp, °C (LGR S/N: 21551159, SEN S/N: 21551159)",Specific_Conductance
277,4/24/2023 8:00,0,0,13.8,0
278,4/24/2023 8:15,0,0,13.8,0
279,4/24/2023 8:30,0,0,13.91,0
280,4/24/2023 8:45,0,0,14,0
281,4/24/2023 9:00,0,0,13.97,0
282,4/24/2023 9:15,0,0,13.98,0
283,4/24/2023 9:30,0,0,14.13,0
284,4/24/2023 9:45,0,0,14.35,0
285,4/24/2023 10:00,0,0,14.76,0
286,4/24/2023 10:15,0,0,15.22,0
287,4/24/2023 10:30,0,0,15.48,0
288,4/24/2023 10:45,0,0,15.81,0
289,4/24/2023 11:00,0,0,16.23,0
290,4/24/2023 11:15,0,0,16.59,0
291,4/24/2023 11:30,0,0,17,0
292,4/24/2023 11:45,0,0,17.06,0
293,4/24/2023 12:00,0,0,17.56,0
294,4/24/2023 12:15,0,0,17.72,0
295,4/24/2023 12:30,0,0,18.09,0
296,4/24/2023 12:45,0,0,18.36,0
297,4/24/2023 13:00,0,0,18.48,0
298,4/24/2023 13:15,0,0,18.64,0
299,4/24/2023 13:30,0,0,19.3,0
300,4/24/2023 13:45,0,0,20.57,0
301,4/24/2023 14:00,0,0,22.61,0
302,4/24/2023 14:15,0,0,24.76,0
303,4/24/2023 14:30,0,0,26.06,0
304,4/24/2023 14:45,0,0,26.67,0
305,4/24/2023 15:00,0,0,26.55,0
306,4/24/2023 15:15,0,0,27,0
307,4/24/2023 15:30,0,0,27.56,0
308,4/24/2023 15:45,0,0,27.46,0
309,4/24/2023 16:00,0,0,26.46,0
310,4/24/2023 16:15,0,0,26.37,0
311,4/24/2023 16:30,0,0,26.78,0
312,4/24/2023 16:45,0,0,26.94,0
313,4/24/2023 17:00,0,0,26.94,0
314,4/24/2023 17:15,0,0,26.64,0
315,4/24/2023 17:30,0,0,26.1,0
316,4/24/2023 17:45,0,0,25.59,0
317,4/24/2023 18:00,0,0,25.06,0
318,4/24/2023 18:15,0,0,24.58,0
319,4/24/2023 18:30,0,0,23.97,0
320,4/24/2023 18:45,0,0,22.98,0
321,4/24/2023 19:00,0,0,21.93,0
322,4/24/2023 19:15,0,0,20.96,0
323,4/24/2023 19:30,0,0,20.03,0
324,4/24/2023 19:45,0,0,19.21,0
325,4/24/2023 20:00,0,0,18.48,0
326,4/24/2023 20:15,0,0,17.85,0
327,4/24/2023 20:30,0,0,17.36,0
328,4/24/2023 20:45,0,0,16.98,0
329,4/24/2023 21:00,0,0,16.65,0
330,4/24/2023 21:15,0,0,16.33,0
331,4/24/2023 21:30,0,0,15.99,0
332,4/24/2023 21:45,0,0,15.71,0
333,4/24/2023 22:00,0,0,15.47,0
334,4/24/2023 22:15,0,0,15.21,0
335,4/24/2023 22:30,0,0,14.96,0
336,4/24/2023 22:45,0,0,14.74,0
337,4/24/2023 23:00,0,0,14.53,0
338,4/24/2023 23:15,0,0,14.32,0
339,4/24/2023 23:30,0,0,14.16,0
340,4/24/2023 23:45,0,0,13.96,0
341,4/25/2023 0:00,0,0,13.77,0
342,4/25/2023 0:15,0,0,13.62,0
343,4/25/2023 0:30,0,0,13.51,0
344,4/25/2023 0:45,0,0,13.35,0
345,4/25/2023 1:00,0,0,13.18,0
346,4/25/2023 1:15,0,0,12.97,0
347,4/25/2023 1:30,0,0,12.78,0
348,4/25/2023 1:45,0,0,12.62,0
349,4/25/2023 2:00,0,0,12.49,0
350,4/25/2023 2:15,0,0,12.35,0
351,4/25/2023 2:30,0,0,12.23,0
352,4/25/2023 2:45,0,0,12.1,0
353,4/25/2023 3:00,0,0,11.94,0
354,4/25/2023 3:15,0,0,11.79,0
355,4/25/2023 3:30,0,0,11.68,0
356,4/25/2023 3:45,0,0,11.56,0
357,4/25/2023 4:00,0,0,11.42,0
358,4/25/2023 4:15,0,0,11.24,0
359,4/25/2023 4:30,0,0,11.06,0
360,4/25/2023 4:45,0,0,10.93,0
361,4/25/2023 5:00,0,0,10.79,0
362,4/25/2023 5:15,0,0,10.68,0
363,4/25/2023 5:30,0,0,10.57,0
364,4/25/2023 5:45,0,0,10.46,0
365,4/25/2023 6:00,0,0,10.32,0
366,4/25/2023 6:15,0,0,10.2,0
367,4/25/2023 6:30,0,0,10.09,0
368,4/25/2023 6:45,0,0,10.04,0
369,4/25/2023 7:00,0,0,10.06,0
370,4/25/2023 7:15,0,0,10.08,0
371,4/25/2023 7:30,0,0,10.17,0
372,4/25/2023 7:45,0,0,10.4,0
373,4/25/2023 8:00,0,0,10.73,0
374,4/25/2023 8:15,0,0,11.16,0
375,4/25/2023 8:30,0,0,11.71,0
376,4/25/2023 8:45,0,0,12.3,0
377,4/25/2023 9:00,0,0,13.22,0
378,4/25/2023 9:15,0,0,13.88,0
379,4/25/2023 9:30,0,0,15.66,0
380,4/25/2023 9:45,0,0,16.48,0
381,4/25/2023 10:00,0,0,16.62,0
382,4/25/2023 10:15,0,0,17.02,0
383,4/25/2023 10:30,0,0,17.52,0
384,4/25/2023 10:45,0,0,18.03,0
385,4/25/2023 11:00,0,0,18.22,0
386,4/25/2023 11:15,0,0,18.31,0
387,4/25/2023 11:30,0,0,18.45,0
388,4/25/2023 11:45,0,0,18.68,0
389,4/25/2023 12:00,0,0,19.09,0
390,4/25/2023 12:15,0,0,19.5,0
391,4/25/2023 12:30,0,0,20.23,0
392,4/25/2023 12:45,0,0,21.04,0
393,4/25/2023 13:00,0,0,21.61,0
394,4/25/2023 13:15,0,0,22.12,0
395,4/25/2023 13:30,0,0,23.64,0
396,4/25/2023 13:45,0,0,25.4,0
397,4/25/2023 14:00,0,0,26.94,0
398,4/25/2023 14:15,0,0,29.13,0
399,4/25/2023 14:30,0,0,29.67,0
400,4/25/2023 14:45,0,0,29.45,0
401,4/25/2023 15:00,0,0,29.93,0
402,4/25/2023 15:15,0,0,30.75,0
403,4/25/2023 15:30,0,0,31.4,0
404,4/25/2023 15:45,0,0,30.16,0
405,4/25/2023 16:00,0,0,28.46,0
406,4/25/2023 16:15,0,0,28.35,0
407,4/25/2023 16:30,0,0,27.26,0
408,4/25/2023 16:45,0,0,27.32,0
409,4/25/2023 17:00,0,0,28.19,0
410,4/25/2023 17:15,0,0,28.26,0
411,4/25/2023 17:30,0,0,26.84,0
412,4/25/2023 17:45,0,0,25.93,0
413,4/25/2023 18:00,0,0,25.2,0
414,4/25/2023 18:15,0,0,24.76,0
415,4/25/2023 18:30,0,0,23.94,0
416,4/25/2023 18:45,0,0,23.06,0
417,4/25/2023 19:00,0,0,22.42,0
418,4/25/2023 19:15,0,0,22,0
419,4/25/2023 19:30,0,0,21.54,0
420,4/25/2023 19:45,0,0,20.97,0
421,4/25/2023 20:00,0,0,20.46,0
422,4/25/2023 20:15,0,0,20.05,0
423,4/25/2023 20:30,0,0,19.67,0
424,4/25/2023 20:45,0,0,19.23,0
425,4/25/2023 21:00,0,0,18.81,0
426,4/25/2023 21:15,0,0,18.46,0
427,4/25/2023 21:30,0,0,18.2,0
428,4/25/2023 21:45,0,0,18.01,0
429,4/25/2023 22:00,0,0,17.7,0
430,4/25/2023 22:15,0,0,17.4,0
431,4/25/2023 22:30,0,0,17.17,0
432,4/25/2023 22:45,0,0,17.02,0
433,4/25/2023 23:00,0,0,16.79,0
434,4/25/2023 23:15,0,0,16.47,0
435,4/25/2023 23:30,0,0,16.15,0
436,4/25/2023 23:45,0,0,15.81,0
437,4/26/2023 0:00,0,0,15.57,0
438,4/26/2023 0:15,0,0,15.52,0
439,4/26/2023 0:30,0,0,15.5,0
440,4/26/2023 0:45,0,0,15.5,0
441,4/26/2023 1:00,0,0,15.48,0
442,4/26/2023 1:15,0,0,15.43,0
443,4/26/2023 1:30,0,0,15.34,0
444,4/26/2023 1:45,0,0,15.26,0
445,4/26/2023 2:00,0,0,15.18,0
446,4/26/2023 2:15,0,0,15.03,0
447,4/26/2023 2:30,0,0,14.8,0
448,4/26/2023 2:45,0,0,14.65,0
449,4/26/2023 3:00,0,0,14.56,0
450,4/26/2023 3:15,0,0,14.49,0
451,4/26/2023 3:30,0,0,14.35,0
452,4/26/2023 3:45,0,0,14.16,0
453,4/26/2023 4:00,0,0,13.97,0
454,4/26/2023 4:15,0,0,13.79,0
455,4/26/2023 4:30,0,0,13.56,0
456,4/26/2023 4:45,0,0,13.29,0
457,4/26/2023 5:00,0,0,13.06,0
458,4/26/2023 5:15,0,0,12.88,0
459,4/26/2023 5:30,0,0,12.72,0
460,4/26/2023 5:45,0,0,12.56,0
461,4/26/2023 6:00,0,0,12.4,0
462,4/26/2023 6:15,0,0,12.28,0
463,4/26/2023 6:30,0,0,12.15,0
464,4/26/2023 6:45,0,0,12.1,0
465,4/26/2023 7:00,0,0,12.18,0
466,4/26/2023 7:15,0,0,12.46,0
467,4/26/2023 7:30,0,0,12.76,0
468,4/26/2023 7:45,0,0,13.08,0
469,4/26/2023 8:00,0,0,13.48,0
470,4/26/2023 8:15,0,0,13.95,0
471,4/26/2023 8:30,0,0,14.4,0
472,4/26/2023 8:45,0,0,14.92,0
473,4/26/2023 9:00,0,0,15.57,0
474,4/26/2023 9:15,0,0,16.05,0
475,4/26/2023 9:30,0,0,16.74,0
476,4/26/2023 9:45,0,0,17.3,0
477,4/26/2023 10:00,0,0,17.94,0
478,4/26/2023 10:15,0,0,18.64,0
479,4/26/2023 10:30,0,0,19.35,0
480,4/26/2023 10:45,0,0,20.05,0
481,4/26/2023 11:00,0,0,20.41,0
482,4/26/2023 11:15,0,0,20.61,0
483,4/26/2023 11:30,0,0,20.81,0
484,4/26/2023 11:45,0,0,21.23,0
485,4/26/2023 12:00,0,0,21.62,0
486,4/26/2023 12:15,0,0,21.71,0
487,4/26/2023 12:30,0,0,22.22,0
488,4/26/2023 12:45,0,0,22.76,0
489,4/26/2023 13:00,0,0,23.45,0
490,4/26/2023 13:15,0,0,23.64,0
491,4/26/2023 13:30,0,0,24.25,0
492,4/26/2023 13:45,0,0,24.7,0
493,4/26/2023 14:00,0,0,24.78,0
494,4/26/2023 14:15,0,0,25.43,0
495,4/26/2023 14:30,0,0,25.26,0
496,4/26/2023 14:45,0,0,26.31,0
497,4/26/2023 15:00,0,0,25.99,0
498,4/26/2023 15:15,0,0,25.31,0
499,4/26/2023 15:30,0,0,25.05,0
500,4/26/2023 15:45,0,0,24.6,0
501,4/26/2023 16:00,0,0,24.06,0
502,4/26/2023 16:15,0,0,23.57,0
503,4/26/2023 16:30,0,0,23.63,0
504,4/26/2023 16:45,0,0,23.75,0
505,4/26/2023 17:00,0,0,23.55,0
506,4/26/2023 17:15,0,0,23.36,0
507,4/26/2023 17:30,0,0,23.05,0
508,4/26/2023 17:45,0,0,22.61,0
509,4/26/2023 18:00,0,0,22.22,0
510,4/26/2023 18:15,0,0,21.79,0
511,4/26/2023 18:30,0,0,21.29,0
512,4/26/2023 18:45,0,0,20.77,0
513,4/26/2023 19:00,0,0,20.29,0
514,4/26/2023 19:15,0,0,19.65,0
515,4/26/2023 19:30,0,0,18.97,0
516,4/26/2023 19:45,0,0,18.48,0
517,4/26/2023 20:00,0,0,18.2,0
518,4/26/2023 20:15,0,0,17.98,0
519,4/26/2023 20:30,0,0,17.73,0
520,4/26/2023 20:45,0,0,17.51,0
521,4/26/2023 21:00,0,0,17.3,0
522,4/26/2023 21:15,0,0,17.2,0
523,4/26/2023 21:30,0,0,17.09,0
524,4/26/2023 21:45,0,0,16.96,0
525,4/26/2023 22:00,0,0,16.85,0
526,4/26/2023 22:15,0,0,16.75,0
527,4/26/2023 22:30,0,0,16.68,0
528,4/26/2023 22:45,0,0,16.59,0
529,4/26/2023 23:00,0,0,16.49,0
530,4/26/2023 23:15,0,0,16.38,0
531,4/26/2023 23:30,0,0,16.26,0
532,4/26/2023 23:45,0,0,16.16,0
533,4/27/2023 0:00,0,0,16.06,0
534,4/27/2023 0:15,0,0,16.01,0
535,4/27/2023 0:30,0,0,15.92,0
536,4/27/2023 0:45,0,0,15.85,0
537,4/27/2023 1:00,0,0,15.81,0
538,4/27/2023 1:15,0,0,15.71,0
539,4/27/2023 1:30,0,0,15.65,0
540,4/27/2023 1:45,0,0,15.59,0
541,4/27/2023 2:00,0,0,15.57,0
542,4/27/2023 2:15,0,0,15.49,0
543,4/27/2023 2:30,0,0,15.44,0
544,4/27/2023 2:45,0,0,15.42,0
545,4/27/2023 3:00,0,0,15.38,0
546,4/27/2023 3:15,0,0,15.26,0
547,4/27/2023 3:30,0,0,15.16,0
548,4/27/2023 3:45,0,0,15.11,0
549,4/27/2023 4:00,0,0,15.02,0
550,4/27/2023 4:15,0,0,14.9,0
551,4/27/2023 4:30,0,0,14.79,0
552,4/27/2023 4:45,0,0,14.71,0
553,4/27/2023 5:00,0,0,14.69,0
554,4/27/2023 5:15,0,0,14.63,0
555,4/27/2023 5:30,0,0,14.54,0
556,4/27/2023 5:45,0,0,14.44,0
557,4/27/2023 6:00,0,0,14.4,0
558,4/27/2023 6:15,0,0,14.38,0
559,4/27/2023 6:30,0,0,14.42,0
560,4/27/2023 6:45,0,0,14.44,0
561,4/27/2023 7:00,0,0,14.48,0
562,4/27/2023 7:15,0,0,14.56,0
563,4/27/2023 7:30,0,0,14.58,0
564,4/27/2023 7:45,0,0,14.55,0
565,4/27/2023 8:00,0,0,14.55,0
566,4/27/2023 8:15,0,0,14.58,0
567,4/27/2023 8:30,0,0,14.63,0
568,4/27/2023 8:45,0,0,14.65,0
569,4/27/2023 9:00,0,0,14.69,0
570,4/27/2023 9:15,0,0,14.75,0
571,4/27/2023 9:30,0,0,14.89,0
572,4/27/2023 9:45,0,0,15.07,0
573,4/27/2023 10:00,0,0,15.22,0
574,4/27/2023 10:15,0,0,15.37,0
575,4/27/2023 10:30,0,0,15.49,0
576,4/27/2023 10:45,0,0,15.65,0
577,4/27/2023 11:00,0,0,16.08,0
578,4/27/2023 11:15,0,0,16.41,0
579,4/27/2023 11:30,0,0,16.38,0
580,4/27/2023 11:45,0,0,16.42,0
581,4/27/2023 12:00,0,0,16.46,0
582,4/27/2023 12:15,0,0,16.48,0
583,4/27/2023 12:30,0,0,16.75,0
584,4/27/2023 12:45,0,0,17.06,0
585,4/27/2023 13:00,0,0,17.15,0
586,4/27/2023 13:15,0,0,17.05,0
587,4/27/2023 13:30,0,0,17.02,0
588,4/27/2023 13:45,0,0,17.59,0
589,4/27/2023 14:00,0,0,17.89,0
590,4/27/2023 14:15,0,0,18.55,0
591,4/27/2023 14:30,0,0,18.5,0
592,4/27/2023 14:45,0,0,18.11,0
593,4/27/2023 15:00,0,0,18.19,0
594,4/27/2023 15:15,0,0,18.37,0
595,4/27/2023 15:30,0,0,18.46,0
596,4/27/2023 15:45,0,0,18.55,0
597,4/27/2023 16:00,0,0,18.66,0
598,4/27/2023 16:15,0,0,18.74,0
