#,Date ,"Low Range, μS/cm (LGR S/N: 20936906, SEN S/N: 20936906)","Full Range, μS/cm (LGR S/N: 20936906, SEN S/N: 20936906)","Temp, °F (LGR S/N: 20936906, SEN S/N: 20936906)",Specific_Conductance
39,2/10/2022 1:30,,259.1,58.44,149.3
40,2/10/2022 1:45,,259.1,58.44,149.3
41,2/10/2022 2:00,,259.1,58.44,149.3
42,2/10/2022 2:15,,259.1,58.42,149.3
43,2/10/2022 2:30,,259.1,58.44,149.3
44,2/10/2022 2:45,,258.7,58.44,149
45,2/10/2022 3:00,,258.7,58.44,149
46,2/10/2022 3:15,,258.7,58.44,149
47,2/10/2022 3:30,,258.7,58.44,149
48,2/10/2022 3:45,,258.8,58.42,149.1
49,2/10/2022 4:00,,258.8,58.42,149.1
50,2/10/2022 4:15,,258.7,58.44,149
51,2/10/2022 4:30,,258.4,58.44,148.9
52,2/10/2022 4:45,,258.4,58.44,148.9
53,2/10/2022 5:00,,258.4,58.44,148.9
54,2/10/2022 5:15,,258.4,58.44,148.9
55,2/10/2022 5:30,,258.4,58.44,148.9
56,2/10/2022 5:45,,258.4,58.44,148.9
57,2/10/2022 6:00,,258.4,58.44,148.9
58,2/10/2022 6:15,,258.4,58.44,148.9
59,2/10/2022 6:30,,258.4,58.44,148.9
60,2/10/2022 6:45,,258.4,58.44,148.9
61,2/10/2022 7:00,,258.4,58.44,148.9
62,2/10/2022 7:15,,258.4,58.44,148.9
63,2/10/2022 7:30,,258.4,58.44,148.9
64,2/10/2022 7:45,,258.3,58.46,148.8
65,2/10/2022 8:00,,258,58.44,148.6
66,2/10/2022 8:15,,258.4,58.44,148.9
67,2/10/2022 8:30,,258.4,58.44,148.9
68,2/10/2022 8:45,,258.3,58.46,148.8
69,2/10/2022 9:00,,258,58.44,148.6
70,2/10/2022 9:15,,258.4,58.44,148.9
71,2/10/2022 9:30,,258.3,58.46,148.8
72,2/10/2022 9:45,,258,58.46,148.6
73,2/10/2022 10:00,,258.4,58.44,148.9
74,2/10/2022 10:15,,258,58.44,148.6
75,2/10/2022 10:30,,258,58.44,148.6
76,2/10/2022 10:45,,258,58.44,148.6
77,2/10/2022 11:00,,258,58.44,148.6
78,2/10/2022 11:15,,258,58.44,148.6
79,2/10/2022 11:30,,258,58.44,148.6
80,2/10/2022 11:45,,258,58.44,148.6
81,2/10/2022 12:00,,258,58.44,148.6
82,2/10/2022 12:15,,258,58.44,148.6
83,2/10/2022 12:30,,258,58.44,148.6
84,2/10/2022 12:45,,258,58.46,148.6
85,2/10/2022 13:00,,258,58.44,148.6
86,2/10/2022 13:15,,258,58.44,148.6
87,2/10/2022 13:30,,257.6,58.44,148.4
88,2/10/2022 13:45,,258,58.44,148.6
89,2/10/2022 14:00,,257.6,58.44,148.4
90,2/10/2022 14:15,,258,58.46,148.6
91,2/10/2022 14:30,,257.6,58.44,148.4
92,2/10/2022 14:45,,257.2,58.44,148.2
93,2/10/2022 15:00,,257.2,58.46,148.1
94,2/10/2022 15:15,,257.6,58.44,148.4
95,2/10/2022 15:30,,257.6,58.44,148.4
96,2/10/2022 15:45,,257.6,58.46,148.4
97,2/10/2022 16:00,,257.2,58.44,148.2
98,2/10/2022 16:15,,257.6,58.44,148.4
99,2/10/2022 16:30,,257.2,58.44,148.2
100,2/10/2022 16:45,,258,58.44,148.6
101,2/10/2022 17:00,,257.6,58.44,148.4
102,2/10/2022 17:15,,257.6,58.44,148.4
103,2/10/2022 17:30,,257.6,58.44,148.4
104,2/10/2022 17:45,,257.2,58.46,148.1
105,2/10/2022 18:00,,257.6,58.44,148.4
106,2/10/2022 18:15,,257.2,58.46,148.1
107,2/10/2022 18:30,,257.6,58.46,148.4
108,2/10/2022 18:45,,257.6,58.46,148.4
109,2/10/2022 19:00,,257.2,58.46,148.1
110,2/10/2022 19:15,,257.2,58.44,148.2
111,2/10/2022 19:30,,257.2,58.46,148.1
112,2/10/2022 19:45,,257.2,58.46,148.1
113,2/10/2022 20:00,,257.6,58.46,148.4
114,2/10/2022 20:15,,257.6,58.46,148.4
115,2/10/2022 20:30,,257.6,58.46,148.4
116,2/10/2022 20:45,,257.6,58.46,148.4
117,2/10/2022 21:00,,257.2,58.46,148.1
118,2/10/2022 21:15,,257.2,58.46,148.1
119,2/10/2022 21:30,,257.2,58.46,148.1
120,2/10/2022 21:45,,257.6,58.46,148.4
121,2/10/2022 22:00,,257.2,58.46,148.1
122,2/10/2022 22:15,,257.2,58.46,148.1
123,2/10/2022 22:30,,257.2,58.46,148.1
124,2/10/2022 22:45,,257.2,58.46,148.1
125,2/10/2022 23:00,,257.2,58.46,148.1
126,2/10/2022 23:15,,257.2,58.46,148.1
127,2/10/2022 23:30,,257.2,58.46,148.1
128,2/10/2022 23:45,,257.2,58.46,148.1
129,2/11/2022 0:00,,257.2,58.46,148.1
130,2/11/2022 0:15,,257.2,58.44,148.2
131,2/11/2022 0:30,,257.2,58.46,148.1
132,2/11/2022 0:45,,257.2,58.46,148.1
133,2/11/2022 1:00,,257.2,58.46,148.1
134,2/11/2022 1:15,,257.2,58.46,148.1
135,2/11/2022 1:30,,257.2,58.48,148.1
136,2/11/2022 1:45,,257.2,58.46,148.1
137,2/11/2022 2:00,,257.2,58.46,148.1
138,2/11/2022 2:15,,257.2,58.46,148.1
139,2/11/2022 2:30,,257.2,58.46,148.1
140,2/11/2022 2:45,,257.2,58.48,148.1
141,2/11/2022 3:00,,257.2,58.48,148.1
142,2/11/2022 3:15,,257.2,58.46,148.1
143,2/11/2022 3:30,,257.2,58.48,148.1
144,2/11/2022 3:45,,257.2,58.48,148.1
145,2/11/2022 4:00,,257.2,58.48,148.1
146,2/11/2022 4:15,,257.2,58.48,148.1
147,2/11/2022 4:30,,257.2,58.48,148.1
148,2/11/2022 4:45,,257.2,58.48,148.1
149,2/11/2022 5:00,,257.2,58.48,148.1
150,2/11/2022 5:15,,257.2,58.46,148.1
151,2/11/2022 5:30,,257.2,58.46,148.1
152,2/11/2022 5:45,,257.2,58.46,148.1
153,2/11/2022 6:00,,257.2,58.48,148.1
154,2/11/2022 6:15,,256.8,58.48,147.9
155,2/11/2022 6:30,,257.2,58.48,148.1
156,2/11/2022 6:45,,257.2,58.46,148.1
157,2/11/2022 7:00,,257.2,58.46,148.1
158,2/11/2022 7:15,,257.2,58.46,148.1
159,2/11/2022 7:30,,257.2,58.48,148.1
160,2/11/2022 7:45,,257.2,58.48,148.1
161,2/11/2022 8:00,,257.2,58.48,148.1
162,2/11/2022 8:15,,256.8,58.48,147.9
163,2/11/2022 8:30,,257.2,58.48,148.1
164,2/11/2022 8:45,,257.2,58.46,148.1
165,2/11/2022 9:00,,256.8,58.48,147.9
166,2/11/2022 9:15,,257.2,58.48,148.1
167,2/11/2022 9:30,,256.8,58.48,147.9
168,2/11/2022 9:45,,257.2,58.46,148.1
169,2/11/2022 10:00,,257.2,58.48,148.1
170,2/11/2022 10:15,,257.2,58.48,148.1
171,2/11/2022 10:30,,257.2,58.48,148.1
172,2/11/2022 10:45,,257.2,58.46,148.1
173,2/11/2022 11:00,,256.8,58.48,147.9
174,2/11/2022 11:15,,257.2,58.46,148.1
175,2/11/2022 11:30,,256.8,58.48,147.9
176,2/11/2022 11:45,,256.8,58.48,147.9
177,2/11/2022 12:00,,257.2,58.48,148.1
178,2/11/2022 12:15,,257.2,58.48,148.1
179,2/11/2022 12:30,,257.2,58.48,148.1
180,2/11/2022 12:45,,257.2,58.46,148.1
181,2/11/2022 13:00,,257.2,58.48,148.1
182,2/11/2022 13:15,,256.8,58.48,147.9
183,2/11/2022 13:30,,257.2,58.48,148.1
184,2/11/2022 13:45,,256.4,58.48,147.6
185,2/11/2022 14:00,,256.8,58.48,147.9
186,2/11/2022 14:15,,256.8,58.48,147.9
187,2/11/2022 14:30,,257.2,58.48,148.1
188,2/11/2022 14:45,,256.8,58.48,147.9
189,2/11/2022 15:00,,256.8,58.48,147.9
190,2/11/2022 15:15,,257.2,58.48,148.1
191,2/11/2022 15:30,,256.4,58.48,147.6
192,2/11/2022 15:45,,256.8,58.48,147.9
193,2/11/2022 16:00,,257.2,58.48,148.1
194,2/11/2022 16:15,,257.2,58.48,148.1
195,2/11/2022 16:30,,256.4,58.5,147.6
196,2/11/2022 16:45,,256.4,58.48,147.6
197,2/11/2022 17:00,,256.8,58.48,147.9
198,2/11/2022 17:15,,256.8,58.48,147.9
199,2/11/2022 17:30,,256.4,58.48,147.6
200,2/11/2022 17:45,,256.8,58.5,147.8
201,2/11/2022 18:00,,256.8,58.5,147.8
202,2/11/2022 18:15,,256.4,58.48,147.6
203,2/11/2022 18:30,,256.8,58.5,147.8
204,2/11/2022 18:45,,256.4,58.48,147.6
205,2/11/2022 19:00,,256.8,58.48,147.9
206,2/11/2022 19:15,,256.8,58.48,147.9
207,2/11/2022 19:30,,256.8,58.48,147.9
208,2/11/2022 19:45,,257.2,58.48,148.1
209,2/11/2022 20:00,,256.4,58.48,147.6
210,2/11/2022 20:15,,256.8,58.48,147.9
211,2/11/2022 20:30,,256.4,58.48,147.6
212,2/11/2022 20:45,,256.8,58.48,147.9
213,2/11/2022 21:00,,256.4,58.48,147.6
214,2/11/2022 21:15,,256.8,58.48,147.9
215,2/11/2022 21:30,,256.4,58.48,147.6
216,2/11/2022 21:45,,256.8,58.48,147.9
217,2/11/2022 22:00,,257.2,58.48,148.1
218,2/11/2022 22:15,,256.8,58.48,147.9
219,2/11/2022 22:30,,256.4,58.5,147.6
220,2/11/2022 22:45,,256.4,58.48,147.6
221,2/11/2022 23:00,,256.4,58.5,147.6
222,2/11/2022 23:15,,257.2,58.48,148.1
223,2/11/2022 23:30,,256.8,58.48,147.9
224,2/11/2022 23:45,,256.4,58.5,147.6
225,2/12/2022 0:00,,256.4,58.5,147.6
226,2/12/2022 0:15,,256.4,58.5,147.6
227,2/12/2022 0:30,,256.4,58.5,147.6
228,2/12/2022 0:45,,256.8,58.5,147.8
229,2/12/2022 1:00,,256.4,58.5,147.6
230,2/12/2022 1:15,,256.4,58.48,147.6
231,2/12/2022 1:30,,256.4,58.48,147.6
232,2/12/2022 1:45,,256.4,58.48,147.6
233,2/12/2022 2:00,,256.8,58.5,147.8
234,2/12/2022 2:15,,256.4,58.48,147.6
235,2/12/2022 2:30,,256.4,58.5,147.6
236,2/12/2022 2:45,,256.4,58.48,147.6
237,2/12/2022 3:00,,256.4,58.5,147.6
238,2/12/2022 3:15,,256.4,58.48,147.6
239,2/12/2022 3:30,,256.4,58.48,147.6
240,2/12/2022 3:45,,256.4,58.48,147.6
241,2/12/2022 4:00,,256.4,58.48,147.6
242,2/12/2022 4:15,,256.4,58.48,147.6
243,2/12/2022 4:30,,256.4,58.5,147.6
244,2/12/2022 4:45,,256.4,58.5,147.6
245,2/12/2022 5:00,,256.4,58.5,147.6
246,2/12/2022 5:15,,256.4,58.5,147.6
247,2/12/2022 5:30,,256.4,58.5,147.6
248,2/12/2022 5:45,,256.4,58.5,147.6
249,2/12/2022 6:00,,256.4,58.5,147.6
250,2/12/2022 6:15,,256.4,58.48,147.6
251,2/12/2022 6:30,,256.4,58.48,147.6
252,2/12/2022 6:45,,256.8,58.5,147.8
253,2/12/2022 7:00,,256.4,58.5,147.6
254,2/12/2022 7:15,,257.2,58.5,148.1
255,2/12/2022 7:30,,256.4,58.5,147.6
256,2/12/2022 7:45,,256.4,58.5,147.6
257,2/12/2022 8:00,,256.4,58.5,147.6
258,2/12/2022 8:15,,256.4,58.5,147.6
259,2/12/2022 8:30,,256.4,58.5,147.6
260,2/12/2022 8:45,,256.4,58.5,147.6
261,2/12/2022 9:00,,256.8,58.5,147.8
262,2/12/2022 9:15,,256.4,58.5,147.6
263,2/12/2022 9:30,,256.4,58.5,147.6
264,2/12/2022 9:45,,256.4,58.5,147.6
265,2/12/2022 10:00,,256.4,58.5,147.6
266,2/12/2022 10:15,,256.4,58.5,147.6
267,2/12/2022 10:30,,256.4,58.53,147.5
268,2/12/2022 10:45,,256.4,58.5,147.6
269,2/12/2022 11:00,,256.4,58.5,147.6
270,2/12/2022 11:15,,256.4,58.5,147.6
271,2/12/2022 11:30,,256.4,58.5,147.6
272,2/12/2022 11:45,,256.8,58.5,147.8
273,2/12/2022 12:00,,256.4,58.5,147.6
274,2/12/2022 12:15,,256.4,58.5,147.6
275,2/12/2022 12:30,,256.4,58.5,147.6
276,2/12/2022 12:45,,256.4,58.5,147.6
277,2/12/2022 13:00,,256.8,58.5,147.8
278,2/12/2022 13:15,,256.4,58.5,147.6
279,2/12/2022 13:30,,256.4,58.5,147.6
280,2/12/2022 13:45,,256.8,58.5,147.8
281,2/12/2022 14:00,,256.8,58.5,147.8
282,2/12/2022 14:15,,256.4,58.5,147.6
283,2/12/2022 14:30,,256.4,58.5,147.6
284,2/12/2022 14:45,,256.4,58.5,147.6
285,2/12/2022 15:00,,256.4,58.5,147.6
286,2/12/2022 15:15,,256.4,58.5,147.6
287,2/12/2022 15:30,,256.4,58.5,147.6
288,2/12/2022 15:45,,256.4,58.5,147.6
289,2/12/2022 16:00,,256.4,58.5,147.6
290,2/12/2022 16:15,,256.4,58.5,147.6
291,2/12/2022 16:30,,256.4,58.53,147.5
292,2/12/2022 16:45,,256.4,58.5,147.6
293,2/12/2022 17:00,,256.4,58.53,147.5
294,2/12/2022 17:15,,256.4,58.5,147.6
295,2/12/2022 17:30,,256.4,58.53,147.5
296,2/12/2022 17:45,,256.4,58.5,147.6
297,2/12/2022 18:00,,256.4,58.5,147.6
298,2/12/2022 18:15,,256.4,58.53,147.5
299,2/12/2022 18:30,,256.4,58.5,147.6
300,2/12/2022 18:45,,256.4,58.53,147.5
301,2/12/2022 19:00,,256,58.53,147.3
302,2/12/2022 19:15,,256.4,58.5,147.6
303,2/12/2022 19:30,,256.4,58.53,147.5
304,2/12/2022 19:45,,256.4,58.53,147.5
305,2/12/2022 20:00,,256.4,58.5,147.6
306,2/12/2022 20:15,,256.4,58.5,147.6
307,2/12/2022 20:30,,256.4,58.53,147.5
308,2/12/2022 20:45,,256.4,58.53,147.5
309,2/12/2022 21:00,,256.4,58.53,147.5
310,2/12/2022 21:15,,256.4,58.53,147.5
311,2/12/2022 21:30,,256.4,58.53,147.5
312,2/12/2022 21:45,,256.4,58.53,147.5
313,2/12/2022 22:00,,256.4,58.53,147.5
314,2/12/2022 22:15,,256.4,58.53,147.5
315,2/12/2022 22:30,,256.4,58.53,147.5
316,2/12/2022 22:45,,256.4,58.53,147.5
317,2/12/2022 23:00,,256.4,58.53,147.5
318,2/12/2022 23:15,,256.4,58.53,147.5
319,2/12/2022 23:30,,256.4,58.53,147.5
320,2/12/2022 23:45,,256.4,58.53,147.5
321,2/13/2022 0:00,,256.4,58.53,147.5
322,2/13/2022 0:15,,256.4,58.53,147.5
323,2/13/2022 0:30,,256.4,58.53,147.5
324,2/13/2022 0:45,,256.4,58.53,147.5
325,2/13/2022 1:00,,256.4,58.53,147.5
326,2/13/2022 1:15,,256.4,58.53,147.5
327,2/13/2022 1:30,,256.4,58.55,147.5
328,2/13/2022 1:45,,256.4,58.53,147.5
329,2/13/2022 2:00,,256.4,58.53,147.5
330,2/13/2022 2:15,,256.4,58.53,147.5
331,2/13/2022 2:30,,256.4,58.53,147.5
332,2/13/2022 2:45,,256,58.53,147.3
333,2/13/2022 3:00,,256,58.53,147.3
334,2/13/2022 3:15,,256.4,58.53,147.5
335,2/13/2022 3:30,,256.4,58.53,147.5
336,2/13/2022 3:45,,256.4,58.55,147.5
337,2/13/2022 4:00,,256.4,58.55,147.5
338,2/13/2022 4:15,,256,58.53,147.3
339,2/13/2022 4:30,,256.4,58.55,147.5
340,2/13/2022 4:45,,256,58.55,147.3
341,2/13/2022 5:00,,256.4,58.55,147.5
342,2/13/2022 5:15,,256.4,58.55,147.5
343,2/13/2022 5:30,,256.4,58.55,147.5
344,2/13/2022 5:45,,256.7,58.55,147.7
345,2/13/2022 6:00,,256.4,58.55,147.5
346,2/13/2022 6:15,,256.4,58.55,147.5
347,2/13/2022 6:30,,256.4,58.55,147.5
348,2/13/2022 6:45,,256.4,58.55,147.5
349,2/13/2022 7:00,,256.4,58.55,147.5
350,2/13/2022 7:15,,256.4,58.55,147.5
351,2/13/2022 7:30,,256.4,58.55,147.5
352,2/13/2022 7:45,,256.4,58.55,147.5
353,2/13/2022 8:00,,256.4,58.55,147.5
354,2/13/2022 8:15,,256.4,58.55,147.5
355,2/13/2022 8:30,,256.4,58.55,147.5
356,2/13/2022 8:45,,256.4,58.55,147.5
357,2/13/2022 9:00,,256.4,58.55,147.5
358,2/13/2022 9:15,,256.4,58.55,147.5
359,2/13/2022 9:30,,256.4,58.55,147.5
360,2/13/2022 9:45,,256.4,58.55,147.5
361,2/13/2022 10:00,,256.4,58.55,147.5
362,2/13/2022 10:15,,256.4,58.55,147.5
363,2/13/2022 10:30,,256.3,58.57,147.4
364,2/13/2022 10:45,,256.4,58.55,147.5
365,2/13/2022 11:00,,256.4,58.55,147.5
366,2/13/2022 11:15,,256.3,58.57,147.4
367,2/13/2022 11:30,,256.4,58.55,147.5
368,2/13/2022 11:45,,256.3,58.57,147.4
369,2/13/2022 12:00,,256.4,58.55,147.5
370,2/13/2022 12:15,,256.4,58.55,147.5
371,2/13/2022 12:30,,256,58.55,147.3
372,2/13/2022 12:45,,256.3,58.57,147.4
373,2/13/2022 13:00,,256.3,58.57,147.4
374,2/13/2022 13:15,,256.4,58.55,147.5
375,2/13/2022 13:30,,256.4,58.55,147.5
376,2/13/2022 13:45,,256.3,58.57,147.4
377,2/13/2022 14:00,,256.4,58.55,147.5
378,2/13/2022 14:15,,256.3,58.57,147.4
379,2/13/2022 14:30,,256.3,58.57,147.4
380,2/13/2022 14:45,,256.3,58.57,147.4
381,2/13/2022 15:00,,256.3,58.57,147.4
382,2/13/2022 15:15,,256.3,58.59,147.4
383,2/13/2022 15:30,,256.3,58.57,147.4
384,2/13/2022 15:45,,256.3,58.57,147.4
385,2/13/2022 16:00,,256.3,58.57,147.4
386,2/13/2022 16:15,,256.3,58.57,147.4
387,2/13/2022 16:30,,256.3,58.57,147.4
388,2/13/2022 16:45,,256.3,58.57,147.4
389,2/13/2022 17:00,,256.3,58.57,147.4
390,2/13/2022 17:15,,256.3,58.59,147.4
391,2/13/2022 17:30,,256.3,58.57,147.4
392,2/13/2022 17:45,,256.3,58.57,147.4
393,2/13/2022 18:00,,256.3,58.57,147.4
394,2/13/2022 18:15,,256.3,58.59,147.4
395,2/13/2022 18:30,,256.3,58.59,147.4
396,2/13/2022 18:45,,256.3,58.57,147.4
397,2/13/2022 19:00,,255.9,58.59,147.1
398,2/13/2022 19:15,,256.3,58.59,147.4
399,2/13/2022 19:30,,256.3,58.59,147.4
400,2/13/2022 19:45,,256.3,58.59,147.4
401,2/13/2022 20:00,,256.3,58.59,147.4
402,2/13/2022 20:15,,256.3,58.59,147.4
403,2/13/2022 20:30,,256.3,58.59,147.4
404,2/13/2022 20:45,,256.3,58.59,147.4
405,2/13/2022 21:00,,256.3,58.59,147.4
406,2/13/2022 21:15,,256.3,58.59,147.4
407,2/13/2022 21:30,,256.3,58.59,147.4
408,2/13/2022 21:45,,256.3,58.59,147.4
409,2/13/2022 22:00,,256.3,58.59,147.4
410,2/13/2022 22:15,,256.3,58.6,147.3
411,2/13/2022 22:30,,256.3,58.59,147.4
412,2/13/2022 22:45,,256.3,58.6,147.3
413,2/13/2022 23:00,,256.3,58.6,147.3
414,2/13/2022 23:15,,256.3,58.6,147.3
415,2/13/2022 23:30,,256.3,58.6,147.3
416,2/13/2022 23:45,,256.3,58.6,147.3
417,2/14/2022 0:00,,256.3,58.6,147.3
418,2/14/2022 0:15,,256.3,58.6,147.3
419,2/14/2022 0:30,,256.3,58.6,147.3
420,2/14/2022 0:45,,256.3,58.6,147.3
421,2/14/2022 1:00,,256.3,58.6,147.3
422,2/14/2022 1:15,,256.3,58.6,147.3
423,2/14/2022 1:30,,256.3,58.6,147.3
424,2/14/2022 1:45,,256.3,58.6,147.3
425,2/14/2022 2:00,,256.3,58.6,147.3
426,2/14/2022 2:15,,256.7,58.6,147.5
427,2/14/2022 2:30,,256.3,58.6,147.3
428,2/14/2022 2:45,,256.3,58.6,147.3
429,2/14/2022 3:00,,256.3,58.6,147.3
430,2/14/2022 3:15,,256.3,58.64,147.2
431,2/14/2022 3:30,,256.3,58.64,147.2
432,2/14/2022 3:45,,256.3,58.6,147.3
433,2/14/2022 4:00,,256.3,58.64,147.2
434,2/14/2022 4:15,,256.3,58.6,147.3
435,2/14/2022 4:30,,256.3,58.6,147.3
436,2/14/2022 4:45,,256.3,58.6,147.3
437,2/14/2022 5:00,,256.3,58.64,147.2
438,2/14/2022 5:15,,256.3,58.64,147.2
439,2/14/2022 5:30,,256.3,58.64,147.2
440,2/14/2022 5:45,,256.3,58.64,147.2
441,2/14/2022 6:00,,256.3,58.64,147.2
442,2/14/2022 6:15,,256.3,58.64,147.2
443,2/14/2022 6:30,,256.3,58.64,147.2
444,2/14/2022 6:45,,256.3,58.64,147.2
445,2/14/2022 7:00,,256.3,58.64,147.2
446,2/14/2022 7:15,,256.3,58.66,147.2
447,2/14/2022 7:30,,256.3,58.64,147.2
448,2/14/2022 7:45,,256.3,58.66,147.2
449,2/14/2022 8:00,,256.3,58.64,147.2
450,2/14/2022 8:15,,256.3,58.64,147.2
451,2/14/2022 8:30,,256.3,58.66,147.2
452,2/14/2022 8:45,,256.3,58.64,147.2
453,2/14/2022 9:00,,256.3,58.66,147.2
454,2/14/2022 9:15,,256.3,58.66,147.2
455,2/14/2022 9:30,,256.3,58.66,147.2
456,2/14/2022 9:45,,256.3,58.66,147.2
457,2/14/2022 10:00,,256.3,58.66,147.2
458,2/14/2022 10:15,,256.3,58.66,147.2
459,2/14/2022 10:30,,256.3,58.66,147.2
460,2/14/2022 10:45,,256.3,58.66,147.2
461,2/14/2022 11:00,,256.3,58.66,147.2
462,2/14/2022 11:15,,256.3,58.66,147.2
463,2/14/2022 11:30,,256.3,58.66,147.2
464,2/14/2022 11:45,,256.3,58.68,147.2
465,2/14/2022 12:00,,256.3,58.68,147.2
466,2/14/2022 12:15,,256.3,58.68,147.2
467,2/14/2022 12:30,,256.3,58.68,147.2
468,2/14/2022 12:45,,256.3,58.68,147.2
469,2/14/2022 13:00,,256.7,58.68,147.4
470,2/14/2022 13:15,,256.3,58.68,147.2
471,2/14/2022 13:30,,256.7,58.68,147.4
472,2/14/2022 13:45,,256.7,58.68,147.4
473,2/14/2022 14:00,,256.7,58.68,147.4
474,2/14/2022 14:15,,256.7,58.68,147.4
475,2/14/2022 14:30,,256.7,58.68,147.4
476,2/14/2022 14:45,,256.3,58.68,147.2
477,2/14/2022 15:00,,256.7,58.68,147.4
478,2/14/2022 15:15,,256.7,58.68,147.4
479,2/14/2022 15:30,,256.7,58.69,147.4
480,2/14/2022 15:45,,256.3,58.69,147.1
481,2/14/2022 16:00,,256.7,58.68,147.4
482,2/14/2022 16:15,,256.7,58.69,147.4
483,2/14/2022 16:30,,256.7,58.68,147.4
484,2/14/2022 16:45,,256.7,58.69,147.4
485,2/14/2022 17:00,,256.3,58.69,147.1
486,2/14/2022 17:15,,256.7,58.69,147.4
487,2/14/2022 17:30,,257.1,58.69,147.6
488,2/14/2022 17:45,,256.7,58.69,147.4
489,2/14/2022 18:00,,256.7,58.69,147.4
490,2/14/2022 18:15,,256.7,58.69,147.4
491,2/14/2022 18:30,,256.7,58.69,147.4
492,2/14/2022 18:45,,257.1,58.69,147.6
493,2/14/2022 19:00,,257.1,58.69,147.6
494,2/14/2022 19:15,,256.7,58.69,147.4
495,2/14/2022 19:30,,256.7,58.69,147.4
496,2/14/2022 19:45,,256.7,58.71,147.3
497,2/14/2022 20:00,,256.7,58.71,147.3
498,2/14/2022 20:15,,256.7,58.69,147.4
499,2/14/2022 20:30,,257.1,58.69,147.6
500,2/14/2022 20:45,,256.7,58.69,147.4
501,2/14/2022 21:00,,256.7,58.69,147.4
502,2/14/2022 21:15,,256.7,58.69,147.4
503,2/14/2022 21:30,,256.3,58.69,147.1
504,2/14/2022 21:45,,256.7,58.69,147.4
505,2/14/2022 22:00,,256.7,58.71,147.3
506,2/14/2022 22:15,,256.7,58.71,147.3
507,2/14/2022 22:30,,256.7,58.69,147.4
508,2/14/2022 22:45,,256.7,58.71,147.3
509,2/14/2022 23:00,,256.7,58.71,147.3
510,2/14/2022 23:15,,257.1,58.75,147.5
511,2/14/2022 23:30,,256.7,58.75,147.3
512,2/14/2022 23:45,,257.1,58.75,147.5
513,2/15/2022 0:00,,256.7,58.75,147.3
514,2/15/2022 0:15,,257.1,58.71,147.6
515,2/15/2022 0:30,,257.1,58.75,147.5
516,2/15/2022 0:45,,257.1,58.75,147.5
517,2/15/2022 1:00,,257.1,58.75,147.5
518,2/15/2022 1:15,,257.1,58.75,147.5
519,2/15/2022 1:30,,257.1,58.75,147.5
520,2/15/2022 1:45,,257.1,58.75,147.5
521,2/15/2022 2:00,,257.1,58.75,147.5
522,2/15/2022 2:15,,257.1,58.77,147.4
523,2/15/2022 2:30,,257.1,58.75,147.5
524,2/15/2022 2:45,,257.1,58.75,147.5
525,2/15/2022 3:00,,256.7,58.75,147.3
526,2/15/2022 3:15,,257.1,58.77,147.4
527,2/15/2022 3:30,,257.1,58.75,147.5
528,2/15/2022 3:45,,257.1,58.75,147.5
529,2/15/2022 4:00,,257.1,58.77,147.4
530,2/15/2022 4:15,,257.1,58.75,147.5
531,2/15/2022 4:30,,257.1,58.77,147.4
